# Phase   R flux
0.00079  0.49888
0.00188  0.50072
0.00297  0.50350
0.00624  0.50303
0.00752  0.50675
0.00861  0.50956
0.00970  0.50815
0.01079  0.52095
0.01187  0.52191
0.01296  0.52868
0.01405  0.53555
0.01514  0.54200
0.01521  0.53505
0.01623  0.55360
0.01645  0.55718
0.01732  0.56441
0.01841  0.56389
0.01941  0.57703
0.01950  0.57597
0.02050  0.57809
0.02059  0.58076
0.02159  0.58613
0.02167  0.59210
0.02268  0.59047
0.02276  0.60255
0.02377  0.61489
0.02486  0.61602
0.02595  0.61773
0.02615  0.62574
0.02704  0.62748
0.02724  0.63270
0.02812  0.62979
0.02833  0.64150
0.02921  0.66313
0.02942  0.64923
0.03030  0.65162
0.03051  0.65584
0.03139  0.66069
0.03159  0.65523
0.03248  0.65947
0.03268  0.67546
0.03357  0.66374
0.03377  0.67982
0.03466  0.68045
0.03486  0.69055
0.03575  0.68992
0.03595  0.70210
0.03683  0.69374
0.03704  0.69566
0.03792  0.72510
0.03813  0.71647
0.03901  0.73046
0.03922  0.72710
0.04010  0.73790
0.04031  0.71911
0.04119  0.72443
0.04139  0.72979
0.04477  0.77196
0.04582  0.75787
0.04586  0.76771
0.04691  0.78415
0.04695  0.77553
0.04800  0.79140
0.04803  0.78270
0.04909  0.80389
0.04912  0.78704
0.05018  0.79067
0.05021  0.79799
0.05130  0.81357
0.05236  0.79140
0.05239  0.81432
0.05344  0.83560
0.05348  0.81658
0.05453  0.82413
0.05457  0.82186
0.05562  0.82489
0.05566  0.84644
0.05671  0.83483
0.05675  0.83329
0.05780  0.84800
0.05783  0.84023
0.05892  0.85192
0.06001  0.85664
0.06107  0.85192
0.06215  0.85980
0.06324  0.86856
0.06345  0.87337
0.06454  0.87821
0.06542  0.89371
0.06563  0.90115
0.06651  0.88552
0.06672  0.90115
0.06760  0.90531
0.06780  0.88715
0.06869  0.89289
0.06889  0.89949
0.06978  0.90614
0.06998  0.90448
0.07086  0.91537
0.07107  0.91369
0.07195  0.89784
0.07216  0.91201
0.07304  0.91537
0.07325  0.90949
0.07413  0.91537
0.07434  0.92896
0.07522  0.91537
0.07542  0.92725
0.07631  0.91201
0.07651  0.92214
0.07740  0.92044
0.07760  0.93067
0.07849  0.94275
0.07869  0.93325
0.07958  0.93756
0.08013  0.94449
0.08122  0.94102
0.08230  0.93842
0.08284  0.95060
0.08339  0.94972
0.08393  0.94362
0.08448  0.95323
0.08502  0.94623
0.08557  0.93929
0.08611  0.94623
0.08666  0.94972
0.08720  0.93842
0.08775  0.96116
0.08884  0.95060
0.08938  0.94623
0.08993  0.96294
0.09046  0.94015
0.09102  0.95411
0.09155  0.96205
0.09211  0.94972
0.09264  0.94015
0.09319  0.95411
0.09373  0.93669
0.09428  0.95235
0.09537  0.95851
0.09700  0.94710
0.09809  0.94623
0.09873  0.95851
0.09917  0.95587
0.09982  0.95675
0.10091  0.94275
0.10198  0.95499
0.10200  0.94275
0.10307  0.94275
0.10309  0.95235
0.10416  0.94710
0.10418  0.93842
0.10524  0.94972
0.10527  0.96028
0.10633  0.94710
0.10636  0.96294
0.10742  0.94102
0.10744  0.95675
0.10851  0.93929
0.10853  0.95411
0.10960  0.96028
0.10962  0.95499
0.11071  0.96738
0.11180  0.95499
0.11287  0.94015
0.11289  0.95499
0.11395  0.95060
0.11398  0.94362
0.11504  0.94623
0.11613  0.93756
0.11740  0.94623
0.11831  0.93239
0.11940  0.95323
0.12049  0.94623
0.12158  0.93669
0.12267  0.94798
0.12375  0.94885
0.12484  0.94536
0.12593  0.94798
0.12702  0.95675
0.12811  0.93929
0.12920  0.94623
0.13029  0.94623
0.13138  0.95587
0.13246  0.96116
0.13355  0.95587
0.13464  0.96028
0.13573  0.94536
0.13682  0.94536
0.13791  0.96028
0.13900  0.95411
0.14009  0.94710
0.14117  0.96294
0.14226  0.95940
0.14335  0.94275
0.14444  0.94972
0.14553  0.95411
0.14662  0.95851
0.14771  0.95235
0.14880  0.94449
0.14989  0.95148
0.15097  0.95675
0.15424  0.95411
0.17486  0.95763
0.17595  0.96827
0.17813  0.94972
0.17904  0.97364
0.18013  0.97454
0.18122  0.97185
0.18231  0.98265
0.18249  0.96471
0.18357  0.95940
0.18466  0.96205
0.18562  0.98084
0.18575  0.96560
0.18671  0.97185
0.18684  0.97633
0.18780  0.96917
0.18793  0.95587
0.18888  0.97454
0.18902  0.98446
0.18997  0.97543
0.19011  0.97185
0.19106  0.96382
0.19120  0.96382
0.19215  0.97364
0.19228  0.97095
0.19324  0.97364
0.19337  0.97274
0.19433  0.96917
0.19446  0.96738
0.19555  0.95851
0.19664  0.98809
0.19773  0.98174
0.20100  0.98900
0.20208  0.96917
0.20317  0.96205
0.20426  0.96738
0.20535  0.97454
0.20626  0.98627
0.20644  0.97633
0.20735  0.97994
0.20844  0.96116
0.20953  0.98355
0.21000  0.97994
0.21062  0.97633
0.21109  0.99357
0.21171  0.98809
0.21218  0.98991
0.21280  0.97274
0.21327  0.97364
0.21389  0.96738
0.21435  0.97813
0.21497  0.96382
0.21544  0.97274
0.21606  0.96649
0.21653  0.98265
0.21715  0.98084
0.21762  0.99174
0.21824  0.96649
0.21871  0.98900
0.21933  0.97454
0.21980  0.98627
0.22042  0.96471
0.22089  0.97185
0.22307  0.97364
0.22373  0.96917
0.22415  0.97095
0.22482  0.96917
0.22524  0.97813
0.22591  0.97813
0.22633  0.97903
0.22700  0.99083
0.22809  0.96917
0.22851  0.98627
0.22918  0.96294
0.23027  0.96827
0.23136  0.96382
0.23244  0.97454
0.23353  0.97095
0.23462  0.97903
0.23571  0.97006
0.23680  0.96738
0.23789  0.96560
0.23898  0.97813
0.24227  0.96205
0.24335  0.97095
0.24444  0.97006
0.24662  0.97723
0.24771  0.96827
0.24880  0.97454
0.24989  0.97364
0.25098  0.97903
0.25207  0.96917
0.25315  0.97454
0.25424  0.97095
0.25533  0.96738
0.25642  0.97274
0.25751  0.96738
0.26140  0.96827
0.26249  0.97185
0.26358  0.96116
0.26467  0.97095
0.26576  0.96471
0.26684  0.97095
0.26793  0.97095
0.26902  0.96917
0.27011  0.97903
0.27120  0.97095
0.27229  0.96649
0.27338  0.95763
0.27447  0.97364
0.27555  0.96649
0.27664  0.96205
0.28013  0.97274
0.28122  0.97274
0.28231  0.96560
0.28340  0.96382
0.28448  0.95499
0.28557  0.95675
0.28666  0.97274
0.28775  0.97006
0.28884  0.96917
0.28993  0.95851
0.29102  0.95851
0.29211  0.96560
0.29320  0.95587
0.29428  0.95763
0.29537  0.97274
0.29998  0.96294
0.30107  0.97454
0.30216  0.94972
0.30325  0.96917
0.30434  0.96205
0.30543  0.97274
0.30652  0.95235
0.30761  0.96205
0.30869  0.96294
0.30978  0.95940
0.31087  0.95763
0.31196  0.95148
0.31305  0.95587
0.31414  0.96028
0.31765  0.97095
0.31874  0.95499
0.31983  0.95411
0.32092  0.96028
0.32201  0.96827
0.32309  0.95851
0.32418  0.95675
0.32636  0.96560
0.32745  0.96471
0.32854  0.96028
0.32963  0.95148
0.33072  0.96116
0.33180  0.95587
0.33289  0.96649
0.33634  0.97095
0.33743  0.95675
0.33852  0.95148
0.33961  0.95675
0.34070  0.95940
0.34179  0.96471
0.34288  0.96294
0.34396  0.94885
0.34505  0.96028
0.34614  0.94972
0.34723  0.95235
0.34832  0.95675
0.34941  0.95235
0.35050  0.95675
0.35159  0.95235
0.35495  0.95235
0.35604  0.94275
0.35712  0.94972
0.35821  0.95323
0.35930  0.93929
0.36039  0.94102
0.36148  0.94188
0.36257  0.94449
0.36366  0.93842
0.36475  0.93842
0.36583  0.94710
0.36692  0.94710
0.36801  0.94710
0.36910  0.93842
0.37019  0.96294
0.37369  0.94449
0.37478  0.93669
0.37587  0.94798
0.37695  0.93929
0.37804  0.94623
0.37913  0.93239
0.38022  0.94015
0.38131  0.93497
0.38240  0.94102
0.38349  0.94710
0.38458  0.93325
0.38567  0.94449
0.38676  0.95060
0.38784  0.94798
0.38893  0.94798
0.39232  0.95587
0.39341  0.94102
0.39450  0.94449
0.39667  0.94623
0.39776  0.94623
0.39885  0.94536
0.39994  0.94188
0.40103  0.93756
0.40212  0.95235
0.40321  0.94275
0.40430  0.94536
0.40539  0.94275
0.40647  0.93067
0.40756  0.94885
0.41093  0.93325
0.41202  0.93153
0.41310  0.92725
0.41419  0.92555
0.41528  0.92640
0.41637  0.91622
0.41746  0.92044
0.41855  0.92214
0.41964  0.92384
0.42073  0.91622
0.42181  0.92214
0.42290  0.89949
0.42399  0.90115
0.42508  0.91285
0.42617  0.90949
0.42907  0.91369
0.43016  0.89866
0.43125  0.89043
0.43234  0.90364
0.43343  0.88226
0.43452  0.88552
0.43561  0.88961
0.43669  0.88226
0.43778  0.88715
0.43887  0.87498
0.43996  0.86377
0.44105  0.87337
0.44214  0.86139
0.44323  0.85822
0.44432  0.84411
0.44750  0.83791
0.44859  0.84644
0.44968  0.83560
0.45077  0.83406
0.45186  0.84023
0.45295  0.82489
0.45404  0.82870
0.45513  0.82262
0.45622  0.81133
0.45730  0.81432
0.45839  0.80686
0.45948  0.80909
0.46057  0.80094
0.46166  0.79726
0.46275  0.79286
0.46384  0.79799
0.46493  0.78922
0.46601  0.78415
0.46710  0.78922
0.46819  0.78054
0.47109  0.77481
0.47218  0.76913
0.47327  0.77481
0.47436  0.77196
0.47545  0.77339
0.47654  0.76983
0.47762  0.75927
0.47871  0.76348
0.47980  0.76630
0.48089  0.76348
0.48198  0.75439
0.48307  0.75578
0.48416  0.74885
0.48525  0.74816
0.48634  0.74541
0.48743  0.75857
0.48851  0.74336
0.48960  0.74748
0.49069  0.75439
0.49178  0.74336
0.49303  0.75093
0.49412  0.75509
0.49521  0.74885
0.49630  0.74336
0.49739  0.75093
0.49848  0.75578
0.49957  0.74610
0.50031  0.75578
0.50065  0.74473
0.50174  0.75578
0.50283  0.75718
0.50392  0.75370
0.50484  0.74748
0.50501  0.76842
0.50610  0.75162
0.50664  0.75300
0.50719  0.76067
0.50828  0.75578
0.50846  0.75023
0.50936  0.75787
0.50937  0.75648
0.51046  0.74748
0.51117  0.76771
0.51154  0.74816
0.51207  0.76489
0.51263  0.75509
0.51298  0.77054
0.51372  0.76137
0.51388  0.76700
0.51657  0.77339
0.51766  0.77481
0.51799  0.77553
0.51875  0.78054
0.51889  0.78849
0.51980  0.78487
0.51984  0.78415
0.52070  0.76630
0.52093  0.78342
0.52161  0.77696
0.52202  0.77696
0.52251  0.79067
0.52310  0.77911
0.52419  0.78777
0.52528  0.79799
0.52613  0.80463
0.52637  0.80612
0.52704  0.80612
0.52746  0.79799
0.52794  0.80909
0.52855  0.80389
0.52885  0.80835
0.52964  0.81283
0.52975  0.81283
0.53066  0.80315
0.53073  0.82641
0.53156  0.83406
0.53246  0.81733
0.53337  0.83099
0.53392  0.81658
0.53427  0.81658
0.53500  0.80760
0.53518  0.82870
0.53608  0.81808
0.53609  0.82718
0.53699  0.83868
0.53718  0.82641
0.53789  0.82718
0.53880  0.83253
0.53936  0.84100
0.53970  0.86377
0.54045  0.84800
0.54061  0.85506
0.54151  0.83253
0.54154  0.83637
0.54242  0.83946
0.54263  0.86536
0.54332  0.82870
0.54372  0.86139
0.54423  0.86936
0.54480  0.85980
0.54513  0.85192
0.54589  0.84333
0.54604  0.84722
0.54694  0.84800
0.54698  0.87016
0.54785  0.85113
0.54807  0.86936
0.54875  0.85822
0.54916  0.86776
0.54966  0.85664
0.55025  0.86377
0.55056  0.87176
0.55134  0.87096
0.55237  0.87659
0.55243  0.86297
0.55328  0.87579
0.55352  0.87740
0.55418  0.86218
0.55460  0.86616
0.55509  0.86139
0.55569  0.87176
0.55599  0.87579
0.55689  0.89289
0.55787  0.87659
0.55871  0.87821
0.55896  0.87659
0.55961  0.88715
0.56005  0.89125
0.56051  0.89701
0.56142  0.88715
0.56233  0.88715
0.56432  0.89949
0.56541  0.89618
0.56650  0.89618
0.56759  0.88307
0.56868  0.88879
0.56976  0.90782
0.57085  0.91706
0.57194  0.90032
0.57303  0.90949
0.57412  0.90698
0.57521  0.89949
0.57630  0.91285
0.57739  0.92129
0.57848  0.92299
0.57956  0.91790
0.58065  0.92640
0.58174  0.92725
0.58283  0.91369
0.58392  0.91622
0.58501  0.92129
0.58610  0.91033
0.58719  0.92384
0.58828  0.91033
0.58936  0.93239
0.59045  0.92299
0.59154  0.91537
0.59263  0.91285
0.59372  0.92811
0.59481  0.91537
0.59590  0.91875
0.59932  0.93239
0.60041  0.94015
0.60150  0.92044
0.60259  0.92384
0.60368  0.92129
0.60476  0.92469
0.60585  0.91369
0.60694  0.91875
0.60803  0.92725
0.60912  0.92896
0.61021  0.94015
0.61130  0.92555
0.61239  0.93239
0.61348  0.93583
0.61457  0.93153
0.61565  0.93583
0.61674  0.92982
0.62001  0.93583
0.62110  0.92129
0.62219  0.93497
0.62328  0.92044
0.62436  0.92811
0.62545  0.92896
0.62654  0.92896
0.62763  0.94102
0.62981  0.92384
0.63090  0.93067
0.63432  0.92555
0.63541  0.92384
0.63650  0.91960
0.63759  0.92384
0.63868  0.93583
0.63977  0.92982
0.64085  0.93756
0.64194  0.92384
0.64303  0.94275
0.64412  0.93583
0.64521  0.93411
0.64630  0.93669
0.64739  0.92555
0.64848  0.92555
0.64957  0.94015
0.65065  0.93669
0.65174  0.93497
0.65283  0.94102
0.65392  0.93756
0.65501  0.93842
0.65610  0.93325
0.65719  0.93929
0.65828  0.93756
0.65936  0.93239
0.66045  0.94188
0.66154  0.94362
0.66263  0.94623
0.66372  0.93411
0.66481  0.93497
0.66590  0.93583
0.67565  0.94972
0.67674  0.94362
0.67783  0.94623
0.67891  0.94449
0.68000  0.94536
0.68109  0.95411
0.68218  0.94449
0.68327  0.94798
0.68436  0.95148
0.68545  0.96382
0.68654  0.95411
0.70120  0.96116
0.70338  0.97454
0.70447  0.97364
0.70556  0.97543
0.70665  0.97364
0.70774  0.97454
0.70883  0.95940
0.70992  0.96205
0.71100  0.97364
0.71209  0.97903
0.71318  0.97006
