    HJD      Phase   Vdmag
51862.52954 0.20706 -0.355
51862.53070 0.20727 -0.355
51862.53186 0.20749 -0.350
51862.53301 0.20769 -0.360
51862.53418 0.20791 -0.357
51862.53534 0.20812 -0.348
51862.53651 0.20833 -0.356
51862.53767 0.20854 -0.350
51862.53885 0.20875 -0.362
51862.54001 0.20897 -0.356
51862.54116 0.20917 -0.354
51862.54232 0.20939 -0.347
51862.54350 0.20960 -0.347
51862.54467 0.20981 -0.350
51862.54583 0.21002 -0.344
51862.54698 0.21023 -0.363
51862.54814 0.21044 -0.356
51862.54930 0.21065 -0.363
51862.55046 0.21086 -0.356
51862.55161 0.21107 -0.350
51862.55277 0.21128 -0.355
51862.55394 0.21150 -0.356
51862.55510 0.21171 -0.351
51862.55628 0.21192 -0.357
51862.55748 0.21214 -0.349
51862.55862 0.21235 -0.350
51862.55978 0.21256 -0.350
51862.56094 0.21277 -0.357
51862.56211 0.21298 -0.350
51862.56327 0.21319 -0.359
51862.56444 0.21340 -0.355
51865.66998 0.77749 -0.350
51865.67100 0.77767 -0.334
51865.67201 0.77785 -0.318
51865.67302 0.77804 -0.340
51865.67403 0.77822 -0.334
51865.67505 0.77841 -0.324
51865.67606 0.77859 -0.325
51865.67807 0.77895 -0.314
51865.67908 0.77914 -0.341
51865.68010 0.77932 -0.310
51865.68113 0.77951 -0.347
51865.68213 0.77969 -0.300
51865.68315 0.77988 -0.317
51865.68417 0.78006 -0.337
51865.68518 0.78025 -0.337
51865.68618 0.78043 -0.328
51865.68720 0.78061 -0.307
51865.68923 0.78098 -0.319
51866.56648 0.94032 -0.343
51866.56750 0.94051 -0.345
51866.56853 0.94070 -0.346
51866.56953 0.94088 -0.355
51866.57056 0.94106 -0.341
51866.57157 0.94125 -0.341
51866.57258 0.94143 -0.347
51866.57359 0.94161 -0.340
51866.57459 0.94180 -0.348
51866.57562 0.94198 -0.341
51866.57663 0.94217 -0.354
51866.57765 0.94235 -0.341
51866.57865 0.94253 -0.344
51866.57966 0.94272 -0.340
51866.58067 0.94290 -0.343
51866.58168 0.94308 -0.344
51866.58269 0.94327 -0.352
51866.58370 0.94345 -0.361
51866.58471 0.94363 -0.334
51866.58571 0.94382 -0.340
51866.69099 0.96294 -0.331
51866.69200 0.96312 -0.341
51866.69300 0.96330 -0.340
51866.69401 0.96349 -0.324
51866.69503 0.96367 -0.345
51866.69604 0.96386 -0.342
51866.69705 0.96404 -0.332
51866.69807 0.96423 -0.338
51866.69909 0.96441 -0.336
51866.70010 0.96459 -0.342
51866.70110 0.96478 -0.347
51866.70212 0.96496 -0.329
51866.70315 0.96515 -0.342
51866.70416 0.96533 -0.344
51866.70519 0.96552 -0.339
51866.70620 0.96570 -0.343
51866.70720 0.96588 -0.342
51866.70821 0.96607 -0.343
51866.70923 0.96625 -0.349
51866.71025 0.96644 -0.335
51867.56670 0.12200 -0.359
51867.56771 0.12218 -0.343
51867.56873 0.12237 -0.347
51867.56973 0.12255 -0.334
51867.57075 0.12274 -0.344
51867.57176 0.12292 -0.346
51867.57278 0.12311 -0.343
51867.57381 0.12329 -0.344
51867.57481 0.12347 -0.329
51867.57583 0.12366 -0.345
51867.57684 0.12384 -0.344
51867.57786 0.12403 -0.343
51867.57886 0.12421 -0.342
51867.57988 0.12439 -0.337
51867.58089 0.12458 -0.336
51867.58191 0.12476 -0.341
51867.58294 0.12495 -0.338
51867.58395 0.12513 -0.339
51867.58496 0.12532 -0.349
51867.69152 0.14467 -0.337
51867.69254 0.14486 -0.340
51867.69355 0.14504 -0.336
51867.69458 0.14523 -0.342
51867.69560 0.14541 -0.349
51867.69660 0.14560 -0.331
51867.69766 0.14579 -0.347
51867.69868 0.14597 -0.316
51867.69968 0.14616 -0.342
51867.70070 0.14634 -0.340
51867.70171 0.14652 -0.326
51867.70275 0.14671 -0.327
51867.70377 0.14690 -0.343
51867.70477 0.14708 -0.320
51867.70579 0.14726 -0.336
51867.70681 0.14745 -0.347
51867.70784 0.14764 -0.319
51867.70885 0.14782 -0.348
51867.70987 0.14801 -0.337
51867.71087 0.14819 -0.346
51867.75355 0.15594 -0.346
51867.75455 0.15612 -0.352
51867.75556 0.15630 -0.344
51867.75658 0.15649 -0.349
51867.75759 0.15667 -0.340
51867.75860 0.15686 -0.344
51867.75965 0.15705 -0.335
51867.76069 0.15724 -0.340
51867.76173 0.15743 -0.344
51867.76277 0.15761 -0.337
51867.76380 0.15780 -0.342
51867.76484 0.15799 -0.340
51867.76587 0.15818 -0.333
51867.76691 0.15837 -0.350
51867.76797 0.15856 -0.345
51867.76900 0.15875 -0.333
51867.77004 0.15894 -0.344
51867.77107 0.15912 -0.359
51867.77210 0.15931 -0.342
