  Table 1 from Rucinski et al. (2000)
  Radial Velocities of HV Aqr (km/s)
    HJD    Phase    V1  delV1  V2    delV2
(2400000+)
2450631.7429 0.1851 -33.4  9.3  264.9  -0.7
2450785.5092 0.8199  31.9 -2.7 -273.0  -3.7
2450785.5204 0.8498  31.0  0.4 -252.4 -11.1
2451080.5304 0.6776  32.7 -1.6 -270.5  -3.2
2451080.5416 0.7075  32.5 -4.6 -278.6   8.1
2451080.5542 0.7411  37.0 -1.6 -294.0   2.7
2451080.5650 0.7700  37.6 -0.7 -297.5  -2.7
2451080.5768 0.8015  30.9 -5.5 -271.9  10.0
2451080.5875 0.8301  34.3  0.9 -263.6  -2.8
2451080.5992 0.8613  29.6  0.9 -224.9   3.3
2451080.6099 0.8899  30.8  7.5 -187.8   3.1
2451085.5773 0.1554 -36.7  2.2  237.8  -1.5
2451085.5880 0.1840 -44.5 -1.9  279.6  14.9
2451085.5998 0.2155 -50.8 -5.6  287.2   4.5
2451085.6104 0.2438 -53.3 -7.2  288.3  -1.1
2451085.6235 0.2788 -44.7  0.8  267.2 -17.6
2451085.6342 0.3073 -35.9  7.6  281.9  11.2
2451085.6459 0.3386 -49.1 -9.3  257.7  12.4
2451085.6566 0.3672 -42.7 -7.5  206.0  -7.6
