ObjectID,RA,Dec,Brightness,Distance,Velocity,Temperature
1741,121.73374603537965,-17.61339389475306,10.95136287979793,5.196092762734271,38.69083326831409,NAN
2277,94.75583184766653,-500.0,13.307114667639425,5.076709763596478,251.3308254183177,1795.8937355285116
2146,321.34105389795786,NAN,16.09053507759242,3.705670901080633,138.41226783310216,346.501471762551
2099,NAN,-15.073656902906677,18.309296391473303,2.271763288483025,NAN,788.9446788445032
2223,186.38607630203504,-62.800776110667115,13.631161689054561,9.5736868005756,NAN,NAN
2473,228.78146375276506,61.10290090545914,16.276810406822158,NAN,47.06008529298656,5000.0
1569,160.61168650660719,NAN,18.53501866108578,9.729958728306327,222.00614320363653,1517.2814845260427
2434,237.34830449081608,66.76270009943252,19.098686581845914,8.997148783505983,NAN,1911.962199716685
1548,-1000.0,-54.49406726250707,17.539868918607294,0.5033508256129414,NAN,1452.7476077512472
1761,283.66754761166374,84.5546381932364,17.871702463657837,NAN,163.21818973783303,790.7315471185943
1641,166.07604817290914,-35.50711260900428,13.75116023949847,NAN,NAN,865.6813376537204
2342,223.3526302727079,NAN,11.410426152152816,2.6318589244016146,27.858845021885415,891.458101674402
2388,300.7778804313853,NAN,NAN,3.7008212378470597,1500.0,1420.270355772887
2349,217.3035477826221,NAN,15.858151451053878,NAN,2.598660306471501,558.4992116799656
1614,339.52672925665485,-17.10824354682805,NAN,7.837730605477685,268.482120022246,1405.0929335825492
1985,NAN,32.8028637745859,18.82302086321391,5.688464152179193,118.15001857550335,307.27293374367673
2105,31.844091082288536,-27.39630585565846,-50.0,4.422031031368673,73.10180395013381,828.6713491787028
2254,31.03066733424511,-45.79172625409651,NAN,9.871352792685947,89.93014593627066,1301.6079301789052
2335,NAN,32.79235842391894,16.997094834828722,1.3960624822825476,44.32803794589829,1828.785668742336
2167,NAN,-500.0,NAN,9.967372990388778,90.72219447258098,5000.0
2281,265.3335838528471,6.847736134387205,10.506176015673478,3.803139451830993,NAN,1811.407736417625
