objName,objID,objInfoFlag,qualityFlag,raMean,decMean,epochMean,ng,nr,ni,nz,ny,gMeanApMag,gMeanApMagErr,rMeanApMag,rMeanApMagErr,iMeanApMag,iMeanApMagErr,zMeanApMag,zMeanApMagErr,yMeanApMag,yMeanApMagErr
PSO J167.3593-12.9411,92471673593001023,277348352,33,167.35929727,-12.94111305,56358.38790509,0,1,0,0,0,-999.0,-999.0,20.159799575805664,0.06915300339460373,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3594-12.9415,92471673595180478,268959744,32,167.35944141,-12.94153732,56370.08662037,1,0,1,0,0,22.275999069213867,0.252236008644104,-999.0,-999.0,19.691999435424805,0.08167099952697754,-999.0,-999.0,-999.0,-999.0
PSO J167.3597-12.9400,92471673596052460,302067712,36,167.35968264,-12.93996233,57009.61668981,1,0,1,0,0,22.86949920654297,0.27910301089286804,-999.0,-999.0,20.64459991455078,0.1850380003452301,-999.0,-999.0,-999.0,-999.0
PSO J167.3600-12.9363,92471673599876795,310456320,37,167.35995219,-12.93632764,56727.4015625,0,1,0,0,0,-999.0,-999.0,19.923900604248047,0.1311199963092804,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3609-12.9408,92471673609411414,310456320,37,167.36090083,-12.94080761,57038.60939815,0,1,0,0,0,-999.0,-999.0,20.917200088500977,0.1638830006122589,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3642-12.9365,92471673642146542,268513280,32,167.36418289,-12.93653878,55570.63616898,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.695599555969238,0.0017389999702572823,-999.0,-999.0
PSO J167.3643-12.9363,92471673642816777,268959744,32,167.36428183,-12.93632678,-999.0,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3643-12.9341,92471673643629404,302067712,36,167.3643256,-12.93414871,57001.64277778,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,23.252099990844727,0.32185399532318115,-999.0,-999.0,-999.0,-999.0
PSO J167.3646-12.9382,92471673646734507,302067712,36,167.36464285,-12.93823291,55570.63616898,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.516199111938477,0.002920999890193343,-999.0,-999.0
PSO J167.3654-12.9411,92471673654261056,268959744,32,167.36542233,-12.94109257,56644.64133102,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.78179931640625,0.17910000681877136,-999.0,-999.0
PSO J167.3656-12.9374,92471673656195584,268959744,32,167.36557371,-12.93741471,57001.64478009,0,0,2,0,0,-999.0,-999.0,-999.0,-999.0,22.67329978942871,0.26522698998451233,-999.0,-999.0,-999.0,-999.0
PSO J167.3658-12.9398,92471673658512581,268959744,32,167.36584729,-12.93982234,56644.64133102,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.66790008544922,0.21066300570964813,-999.0,-999.0
PSO J167.3665-12.9342,92471673665359327,268959744,32,167.3665338,-12.93419316,55934.57872685,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.74220085144043,0.2151380032300949
PSO J167.3667-12.9371,92471673667465861,268959744,32,167.36674254,-12.93709015,56644.64133102,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,21.089399337768555,0.2808839976787567,-999.0,-999.0
PSO J167.3667-12.9381,92471673667524728,310456320,37,167.36670993,-12.93805018,55267.42259259,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,19.44610023498535,0.1033720001578331,-999.0,-999.0,-999.0,-999.0
PSO J167.3671-12.9392,92471673671583342,310456320,37,167.36712034,-12.93921025,55268.46212963,0,1,0,0,0,-999.0,-999.0,20.756999969482422,0.17515799403190613,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3674-12.9381,92471673674624684,302067712,36,167.367425,-12.9380813,55274.39321759,1,0,0,0,0,20.73200035095215,0.1826770007610321,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3676-12.9348,92471673676848709,310456320,37,167.3676465,-12.9347996,55267.4259838,0,0,2,1,0,-999.0,-999.0,-999.0,-999.0,19.321300506591797,0.14157000184059143,20.805400848388672,0.239315003156662,-999.0,-999.0
PSO J167.3679-12.9349,92471673679738423,436527104,52,167.36794715634016,-12.93490702231277,56597.52670034438,0,5,3,3,0,-999.0,-999.0,21.66710090637207,0.1964620053768158,20.9596004486084,0.48765701055526733,20.771299362182617,0.06792599707841873,-999.0,-999.0
PSO J167.3681-12.9396,92471673680842842,1343750144,160,167.36808464,-12.93960681,56107.56878472,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3686-12.9342,92471673686169324,302067712,36,167.36857792,-12.9342245,55268.45321759,0,1,0,0,1,-999.0,-999.0,20.631799697875977,0.1660189926624298,-999.0,-999.0,-999.0,-999.0,20.593700408935547,0.22180800139904022
PSO J167.3690-12.9387,92471673690163963,277348352,33,167.36902866,-12.93866261,57038.57721065,0,1,0,0,0,-999.0,-999.0,21.540000915527344,0.14493000507354736,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3690-12.9384,92471673691084378,444915712,53,167.36903855885205,-12.938358307599412,56391.26781059196,14,15,20,16,6,20.04829978942871,0.047589000314474106,19.60759925842285,0.019673999398946762,19.515199661254883,0.022425999864935875,19.58839988708496,0.021376999095082283,19.55780029296875,0.18980400264263153
PSO J167.3693-12.9350,92471673693098395,268959744,32,167.36930838,-12.93496907,55934.57872685,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.43910026550293,0.1676730066537857
PSO J167.3713-12.9355,92471673712547763,268959744,32,167.37125241,-12.93549599,55934.57872685,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3725-12.9348,92471673724718606,268959744,32,167.37246907,-12.93479181,55274.41383102,1,0,0,0,0,23.159299850463867,0.42605099081993103,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3727-12.9353,92471673727838076,310456320,37,167.37274135,-12.93525921,57038.60939815,0,1,0,0,0,-999.0,-999.0,21.375499725341797,0.15603700280189514,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3736-12.9338,92471673735889840,268959744,32,167.37358158,-12.93378047,56007.38626157,0,1,0,0,0,-999.0,-999.0,21.884199142456055,0.3599269986152649,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3742-12.9364,92471673742196655,268959744,32,167.37421817,-12.9364188,55934.57872685,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.86370086669922,0.1807679980993271
PSO J167.3744-12.9389,92471673744103705,268959744,32,167.37441015,-12.93888682,-999.0,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3749-12.9408,92471673749041451,302067712,36,167.37487175,-12.94077552,55675.27780093,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,21.297100067138672,0.2721939980983734,-999.0,-999.0
PSO J167.3752-12.9407,92471673752581493,310456320,37,167.37523182,-12.94074035,55268.46153935,0,1,0,0,0,-999.0,-999.0,20.06450080871582,0.1336279958486557,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3754-12.9358,92471673753867446,268959744,32,167.37537529,-12.93576286,56059.24815972,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.32659912109375,0.30480000376701355
PSO J167.3758-12.9411,92471673758241159,436363264,52,167.37580794817572,-12.941090610321924,56699.667487094106,0,2,3,1,0,-999.0,-999.0,21.51490020751953,0.18203100562095642,21.504499435424805,0.07307100296020508,21.641599655151367,0.20322400331497192,-999.0,-999.0
PSO J167.3761-12.9365,92471673761216513,268959744,32,167.3761218,-12.93654019,55934.56695602,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,23.502899169921875,0.2654919922351837
PSO J167.3769-12.9361,92471673768597024,268959744,32,167.37685216,-12.93611746,55606.57704861,0,1,0,0,0,-999.0,-999.0,20.694000244140625,0.07836200296878815,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3771-12.9417,92471673770700289,268959744,32,167.37707185,-12.94172488,55268.46153935,0,1,0,0,0,-999.0,-999.0,21.174299240112305,0.24298599362373352,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
