id,date,num_x,V_RBT,V_RBT_err,flag_x,R_RBT,R_RBT_err,flag_y,V_JC_PS,V_JC_PS_err,R_JC_PS,R_JC_PS_err,R_JC_RBT_1,V_JC_RBT_1,R_JC_RBT_2,V_JC_RBT_2,R_JC_RBT_3,V_JC_RBT_3
2017-12-08_1,2017-12-08,1,38.098,0.047,OK,38.049,0.054,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-08_2,2017-12-08,2,37.903,0.027,OK,37.594,0.024,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.673516800909425,14.044576660107424,16.249287675428747,13.992419970842796,13.03697142857143,22.194114285714253
2017-12-08_3,2017-12-08,3,39.695,0.13,OK,38.926,0.084,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.994264635330204,15.820691249877932,17.595333530936433,15.784485362317149,13.711828571428573,33.82135238095237
2017-12-08_4,2017-12-08,4,39.148,0.082,OK,38.721,0.065,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.799970666207884,15.288805646411134,17.392180641788524,15.243712083413648,13.995399999999984,25.962066666666836
2017-12-08_5,2017-12-08,5,37.398,0.043,OK,37.012,0.025,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-08_6,2017-12-08,6,37.153,0.018,OK,36.821,0.015,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,12.900516800909422,13.294576660107424,15.388485893691552,13.118464514272638,12.23111428571428,21.93587619047623
2017-12-08_7,2017-12-08,7,38.448,0.059,OK,38.049,0.047,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.117264635330201,14.573691249877932,16.61871883160458,14.396852845613367,13.363399999999995,24.663400000000042
2017-12-08_8,2017-12-08,8,38.13,0.043,OK,37.889,0.041,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,13.96797066620789,14.270805646411134,16.465677301031295,14.092295602344606,13.429114285714286,20.96720952380954
2017-12-08_9,2017-12-08,9,37.897,0.039,OK,38.543,0.1,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-08_10,2017-12-08,10,37.845,0.029,OK,37.782,0.035,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.86151680090942,13.986576660107424,16.458641795696003,13.964566964161278,13.57639999999999,16.87640000000007
2017-12-08_11,2017-12-08,11,39.343,0.098,OK,38.961,0.105,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,15.0292646353302,15.468691249877935,17.634309032050016,15.43809783447751,14.299685714285703,25.194923809523942
2017-12-08_12,2017-12-08,12,38.951,0.067,OK,38.973,0.103,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,15.051970666207886,15.091805646411132,17.672804249806344,15.087121882968205,14.888828571428565,16.1650190476191
2017-12-08_13,2017-12-08,13,37.606,0.028,OK,38.12,0.071,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-08_14,2017-12-08,14,37.917,0.028,OK,37.587,0.024,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.666516800909427,14.058576660107427,16.24149257520603,14.005297476410725,12.999971428571431,22.65711428571427
2017-12-08_15,2017-12-08,15,39.314,0.101,OK,38.835,0.078,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.903264635330203,15.439691249877932,17.493997228041106,15.388892934700223,14.035114285714284,27.239876190476195
2017-12-08_16,2017-12-08,16,38.973,0.066,OK,38.863,0.079,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.941970666207887,15.11380564641113,17.550309817735073,15.091482684749941,14.59025714285714,19.009304761904772
2017-12-11_1,2017-12-11,1,37.729,0.022,OK,37.363,0.02,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-11_2,2017-12-11,2,37.825,0.015,OK,37.563,0.014,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.642516800909426,13.966576660107428,16.214766517299573,13.909448924072194,13.073114285714285,21.111209523809556
2017-12-11_3,2017-12-11,3,39.131,0.044,OK,38.784,0.042,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.8522646353302,15.256691249877932,17.437204354989884,15.197714760980851,14.172685714285707,24.234590476190526
2017-12-11_4,2017-12-11,4,38.889,0.037,OK,38.631,0.036,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.709970666207887,15.029805646411134,17.29195792463931,14.970280012144158,14.146828571428564,22.089685714285796
2017-12-11_5,2017-12-11,5,37.818,0.03,OK,37.436,0.023,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-11_6,2017-12-11,6,37.874,0.014,OK,37.552,0.014,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.631516800909424,14.015576660107428,16.20251707409244,13.956685004250367,12.976399999999993,22.44306666666675
2017-12-11_7,2017-12-11,7,39.292,0.054,OK,38.771,0.041,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.839264635330203,15.417691249877933,17.42272774029055,15.356630128464147,13.911114285714282,28.11587619047623
2017-12-11_8,2017-12-11,8,38.915,0.039,OK,38.542,0.035,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.620970666207889,15.05580564641113,17.19284879323619,14.982008297222102,13.89354285714286,24.57449523809521
2017-12-11_9,2017-12-11,9,37.744,0.025,OK,37.437,0.023,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-11_10,2017-12-11,10,37.85,0.015,OK,37.569,0.014,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.648516800909427,13.991576660107427,16.22144803177619,13.935411062156831,13.05197142857143,21.542447619047618
2017-12-11_11,2017-12-11,11,39.289,0.051,OK,38.775,0.042,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.8432646353302,15.414691249877933,17.42718208327496,15.354271553853899,13.925114285714278,27.96320952380961
2017-12-11_12,2017-12-11,12,38.824,0.038,OK,38.611,0.035,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.689970666207884,14.96480564641113,17.269686209717253,14.902072885195373,14.191114285714278,21.062542857142898
2017-12-11_13,2017-12-11,13,37.797,0.03,OK,37.407,0.022,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-11_14,2017-12-11,14,37.841,0.016,OK,37.515,0.012,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.594516800909425,13.982576660107426,16.161314401486656,13.917751819395136,12.933685714285712,22.49559047619051
2017-12-11_15,2017-12-11,15,39.145,0.048,OK,38.911,0.045,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.979264635330203,15.270691249877935,17.578629744744898,15.232080017105574,14.461114285714281,21.83254285714292
2017-12-11_16,2017-12-11,16,39.053,0.046,OK,38.613,0.034,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.691970666207887,15.193805646411128,17.271913381209462,15.131393597890252,13.86882857142857,26.145019047619016
2017-12-11_17,2017-12-11,17,38.06,0.054,OK,37.366,0.023,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-11_18,2017-12-11,18,37.89,0.026,OK,37.546,0.014,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.625516800909423,14.031576660107426,16.19583555961583,13.971722866165734,12.938971428571424,22.929447619047668
2017-12-11_19,2017-12-11,19,39.16,0.083,OK,38.841,0.047,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.909264635330203,15.285691249877928,17.500678742517724,15.235855072784851,14.26968571428572,23.664923809523735
2017-12-11_20,2017-12-11,20,38.946,0.063,OK,38.602,0.035,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.680970666207884,15.086805646411129,17.25966393800233,15.022629678068427,13.994971428571422,23.985447619047665
2017-12-11_21,2017-12-11,21,38.1,0.063,OK,37.485,0.019,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-11_22,2017-12-11,22,37.86,0.038,OK,37.56,0.015,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.639516800909426,14.001576660107425,16.211425760061267,13.943967855029875,13.015828571428575,21.958685714285675
2017-12-11_23,2017-12-11,23,39.336,0.147,OK,38.676,0.038,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.744264635330204,15.46169124987793,17.31693709441082,15.38539627545746,13.61754285714286,31.13182857142852
2017-12-11_24,2017-12-11,24,38.948,0.098,OK,38.649,0.039,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.727970666207888,15.088805646411132,17.31200246806915,15.03216642639805,14.106257142857142,23.025304761904774
2017-12-12_1,2017-12-12,1,37.758,0.027,OK,37.416,0.024,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-12_2,2017-12-12,2,37.89,0.013,OK,37.612,0.014,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.691516800909426,14.031576660107426,16.269332218858594,13.982306385096692,13.099257142857144,21.51830476190476
2017-12-12_3,2017-12-12,3,39.217,0.049,OK,38.783,0.036,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.851264635330203,15.34269124987793,17.43609076924378,15.283554404633406,14.047400000000001,26.1807333333333
2017-12-12_4,2017-12-12,4,38.971,0.035,OK,38.599,0.031,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.677970666207884,15.111805646411128,17.256323180764024,15.04714860902611,13.951971428571422,24.609114285714302
2017-12-12_5,2017-12-12,5,37.649,0.019,OK,37.451,0.026,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-12_6,2017-12-12,6,37.865,0.014,OK,37.573,0.013,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.652516800909424,14.006576660107427,16.225902374760594,13.951052487546583,13.040257142857138,21.792638095238154
2017-12-12_7,2017-12-12,7,39.192,0.043,OK,38.916,0.039,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.984264635330199,15.317691249877932,17.584197673475405,15.279881798842766,14.406114285714274,22.77754285714295
2017-12-12_8,2017-12-12,8,38.861,0.032,OK,38.645,0.035,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.72397066620789,15.001805646411128,17.307548125084747,14.944525001008294,14.22082857142858,21.163685714285606
2017-12-12_9,2017-12-12,9,37.652,0.018,OK,37.32,0.018,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-12_10,2017-12-12,10,37.847,0.013,OK,37.542,0.013,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.621516800909426,13.988576660107427,16.19138121663142,13.928081440775983,12.990685714285714,22.052590476190495
2017-12-12_11,2017-12-12,11,39.357,0.054,OK,38.773,0.037,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.841264635330205,15.48269124987793,17.42495491178276,15.421950841159024,13.823114285714292,29.527876190476128
2017-12-12_12,2017-12-12,12,38.961,0.035,OK,38.694,0.037,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.77297066620789,15.10180564641113,17.36211382664376,15.052382462032796,14.196971428571434,22.354114285714218
2017-12-12_13,2017-12-12,13,37.712,0.021,OK,37.313,0.019,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
