num,R_RBT,R_RBT_err,flag,data,id
1,38.049,0.054,OK,2017-12-08,2017-12-08_1
2,37.594,0.024,OK,2017-12-08,2017-12-08_2
3,38.926,0.084,OK,2017-12-08,2017-12-08_3
4,38.721,0.065,OK,2017-12-08,2017-12-08_4
5,37.012,0.025,OK,2017-12-08,2017-12-08_5
6,36.821,0.015,OK,2017-12-08,2017-12-08_6
7,38.049,0.047,OK,2017-12-08,2017-12-08_7
8,37.889,0.041,OK,2017-12-08,2017-12-08_8
9,38.543,0.1,OK,2017-12-08,2017-12-08_9
10,37.782,0.035,OK,2017-12-08,2017-12-08_10
11,38.961,0.105,OK,2017-12-08,2017-12-08_11
12,38.973,0.103,OK,2017-12-08,2017-12-08_12
13,38.12,0.071,OK,2017-12-08,2017-12-08_13
14,37.587,0.024,OK,2017-12-08,2017-12-08_14
15,38.835,0.078,OK,2017-12-08,2017-12-08_15
16,38.863,0.079,OK,2017-12-08,2017-12-08_16
1,37.363,0.02,OK,2017-12-11,2017-12-11_1
2,37.563,0.014,OK,2017-12-11,2017-12-11_2
3,38.784,0.042,OK,2017-12-11,2017-12-11_3
4,38.631,0.036,OK,2017-12-11,2017-12-11_4
5,37.436,0.023,OK,2017-12-11,2017-12-11_5
6,37.552,0.014,OK,2017-12-11,2017-12-11_6
7,38.771,0.041,OK,2017-12-11,2017-12-11_7
8,38.542,0.035,OK,2017-12-11,2017-12-11_8
9,37.437,0.023,OK,2017-12-11,2017-12-11_9
10,37.569,0.014,OK,2017-12-11,2017-12-11_10
11,38.775,0.042,OK,2017-12-11,2017-12-11_11
12,38.611,0.035,OK,2017-12-11,2017-12-11_12
13,37.407,0.022,OK,2017-12-11,2017-12-11_13
14,37.515,0.012,OK,2017-12-11,2017-12-11_14
15,38.911,0.045,OK,2017-12-11,2017-12-11_15
16,38.613,0.034,OK,2017-12-11,2017-12-11_16
17,37.366,0.023,OK,2017-12-11,2017-12-11_17
18,37.546,0.014,OK,2017-12-11,2017-12-11_18
19,38.841,0.047,OK,2017-12-11,2017-12-11_19
20,38.602,0.035,OK,2017-12-11,2017-12-11_20
21,37.485,0.019,OK,2017-12-11,2017-12-11_21
22,37.56,0.015,OK,2017-12-11,2017-12-11_22
23,38.676,0.038,OK,2017-12-11,2017-12-11_23
24,38.649,0.039,OK,2017-12-11,2017-12-11_24
1,37.416,0.024,OK,2017-12-12,2017-12-12_1
2,37.612,0.014,OK,2017-12-12,2017-12-12_2
3,38.783,0.036,OK,2017-12-12,2017-12-12_3
4,38.599,0.031,OK,2017-12-12,2017-12-12_4
5,37.451,0.026,OK,2017-12-12,2017-12-12_5
6,37.573,0.013,OK,2017-12-12,2017-12-12_6
7,38.916,0.039,OK,2017-12-12,2017-12-12_7
8,38.645,0.035,OK,2017-12-12,2017-12-12_8
9,37.32,0.018,OK,2017-12-12,2017-12-12_9
10,37.542,0.013,OK,2017-12-12,2017-12-12_10
11,38.773,0.037,OK,2017-12-12,2017-12-12_11
12,38.694,0.037,OK,2017-12-12,2017-12-12_12
13,37.313,0.019,OK,2017-12-12,2017-12-12_13
14,37.562,0.014,OK,2017-12-12,2017-12-12_14
15,38.797,0.042,OK,2017-12-12,2017-12-12_15
16,38.597,0.033,OK,2017-12-12,2017-12-12_16
1,37.301,0.019,OK,2017-12-14,2017-12-14_1
2,37.635,0.012,OK,2017-12-14,2017-12-14_2
3,38.907,0.036,OK,2017-12-14,2017-12-14_3
4,38.696,0.031,OK,2017-12-14,2017-12-14_4
5,37.424,0.012,OK,2017-12-14,2017-12-14_5
6,37.675,0.012,OK,2017-12-14,2017-12-14_6
7,39.029,0.041,OK,2017-12-14,2017-12-14_7
8,38.685,0.03,OK,2017-12-14,2017-12-14_8
9,37.458,0.015,OK,2017-12-14,2017-12-14_9
10,37.677,0.012,OK,2017-12-14,2017-12-14_10
11,38.782,0.032,OK,2017-12-14,2017-12-14_11
12,38.779,0.034,OK,2017-12-14,2017-12-14_12
13,37.381,0.022,OK,2017-12-14,2017-12-14_13
14,37.636,0.012,OK,2017-12-14,2017-12-14_14
15,38.966,0.037,OK,2017-12-14,2017-12-14_15
16,38.664,0.029,OK,2017-12-14,2017-12-14_16
17,37.377,0.02,OK,2017-12-14,2017-12-14_17
18,37.609,0.013,OK,2017-12-14,2017-12-14_18
19,39.019,0.048,OK,2017-12-14,2017-12-14_19
20,38.665,0.033,OK,2017-12-14,2017-12-14_20
1,37.264,0.018,OK,2017-12-15,2017-12-15_1
2,37.543,0.012,OK,2017-12-15,2017-12-15_2
3,38.914,0.037,OK,2017-12-15,2017-12-15_3
4,38.609,0.029,OK,2017-12-15,2017-12-15_4
5,37.233,0.014,OK,2017-12-15,2017-12-15_5
6,37.515,0.01,OK,2017-12-15,2017-12-15_6
7,38.84,0.036,OK,2017-12-15,2017-12-15_7
8,38.605,0.028,OK,2017-12-15,2017-12-15_8
9,37.276,0.015,OK,2017-12-15,2017-12-15_9
10,37.537,0.011,OK,2017-12-15,2017-12-15_10
11,38.781,0.032,OK,2017-12-15,2017-12-15_11
12,38.694,0.03,OK,2017-12-15,2017-12-15_12
13,37.234,0.012,OK,2017-12-15,2017-12-15_13
14,37.572,0.011,OK,2017-12-15,2017-12-15_14
15,38.768,0.032,OK,2017-12-15,2017-12-15_15
16,38.643,0.029,OK,2017-12-15,2017-12-15_16
17,37.293,0.016,OK,2017-12-15,2017-12-15_17
18,37.554,0.012,OK,2017-12-15,2017-12-15_18
19,38.355,0.023,OK,2017-12-15,2017-12-15_19
20,38.678,0.033,OK,2017-12-15,2017-12-15_20
21,37.316,0.017,OK,2017-12-15,2017-12-15_21
22,37.555,0.013,OK,2017-12-15,2017-12-15_22
23,38.873,0.044,OK,2017-12-15,2017-12-15_23
24,38.703,0.036,OK,2017-12-15,2017-12-15_24
1,37.241,0.014,OK,2017-12-19,2017-12-19_1
2,37.539,0.011,OK,2017-12-19,2017-12-19_2
3,38.911,0.038,OK,2017-12-19,2017-12-19_3
4,38.562,0.029,OK,2017-12-19,2017-12-19_4
5,37.238,0.014,OK,2017-12-19,2017-12-19_5
6,37.552,0.012,OK,2017-12-19,2017-12-19_6
7,38.862,0.034,OK,2017-12-19,2017-12-19_7
8,38.59,0.028,OK,2017-12-19,2017-12-19_8
9,37.219,0.012,OK,2017-12-19,2017-12-19_9
10,37.557,0.011,OK,2017-12-19,2017-12-19_10
11,38.842,0.033,OK,2017-12-19,2017-12-19_11
12,38.57,0.027,OK,2017-12-19,2017-12-19_12
13,37.248,0.012,OK,2017-12-19,2017-12-19_13
14,37.565,0.011,OK,2017-12-19,2017-12-19_14
15,38.912,0.034,OK,2017-12-19,2017-12-19_15
16,38.7,0.029,OK,2017-12-19,2017-12-19_16
17,37.262,0.012,OK,2017-12-19,2017-12-19_17
18,37.601,0.012,OK,2017-12-19,2017-12-19_18
19,38.862,0.036,OK,2017-12-19,2017-12-19_19
20,38.642,0.03,OK,2017-12-19,2017-12-19_20
21,37.34,0.02,OK,2017-12-19,2017-12-19_21
22,37.614,0.013,OK,2017-12-19,2017-12-19_22
23,38.797,0.038,OK,2017-12-19,2017-12-19_23
24,38.692,0.037,OK,2017-12-19,2017-12-19_24
1,37.213,0.01,OK,2017-12-20,2017-12-20_1
2,37.586,0.012,OK,2017-12-20,2017-12-20_2
3,38.84,0.032,OK,2017-12-20,2017-12-20_3
4,38.674,0.029,OK,2017-12-20,2017-12-20_4
5,37.225,0.012,OK,2017-12-20,2017-12-20_5
6,37.588,0.012,OK,2017-12-20,2017-12-20_6
7,38.903,0.038,OK,2017-12-20,2017-12-20_7
8,38.719,0.031,OK,2017-12-20,2017-12-20_8
9,37.204,0.011,OK,2017-12-20,2017-12-20_9
10,37.581,0.012,OK,2017-12-20,2017-12-20_10
11,38.801,0.032,OK,2017-12-20,2017-12-20_11
12,38.585,0.028,OK,2017-12-20,2017-12-20_12
1,37.276,0.016,OK,2017-12-21,2017-12-21_1
2,37.624,0.011,OK,2017-12-21,2017-12-21_2
3,38.93,0.037,OK,2017-12-21,2017-12-21_3
4,38.703,0.028,OK,2017-12-21,2017-12-21_4
5,37.31,0.018,OK,2017-12-21,2017-12-21_5
6,37.618,0.011,OK,2017-12-21,2017-12-21_6
7,38.878,0.034,OK,2017-12-21,2017-12-21_7
8,38.703,0.03,OK,2017-12-21,2017-12-21_8
9,37.274,0.016,OK,2017-12-21,2017-12-21_9
10,37.619,0.012,OK,2017-12-21,2017-12-21_10
11,38.895,0.034,OK,2017-12-21,2017-12-21_11
12,38.611,0.027,OK,2017-12-21,2017-12-21_12
13,37.206,0.01,OK,2017-12-21,2017-12-21_13
14,37.574,0.011,OK,2017-12-21,2017-12-21_14
15,38.807,0.031,OK,2017-12-21,2017-12-21_15
16,38.724,0.03,OK,2017-12-21,2017-12-21_16
17,37.223,0.011,OK,2017-12-21,2017-12-21_17
18,37.576,0.011,OK,2017-12-21,2017-12-21_18
19,38.874,0.037,OK,2017-12-21,2017-12-21_19
20,38.617,0.029,OK,2017-12-21,2017-12-21_20
1,37.241,0.015,OK,2017-12-22,2017-12-22_1
2,37.548,0.012,OK,2017-12-22,2017-12-22_2
3,38.867,0.039,OK,2017-12-22,2017-12-22_3
4,38.633,0.029,OK,2017-12-22,2017-12-22_4
5,37.258,0.017,OK,2017-12-22,2017-12-22_5
6,37.561,0.012,OK,2017-12-22,2017-12-22_6
7,38.853,0.039,OK,2017-12-22,2017-12-22_7
8,38.685,0.031,OK,2017-12-22,2017-12-22_8
9,37.205,0.013,OK,2017-12-22,2017-12-22_9
10,37.601,0.012,OK,2017-12-22,2017-12-22_10
11,38.913,0.039,OK,2017-12-22,2017-12-22_11
12,38.606,0.031,OK,2017-12-22,2017-12-22_12
13,37.296,0.024,OK,2017-12-22,2017-12-22_13
14,37.594,0.012,OK,2017-12-22,2017-12-22_14
15,38.859,0.036,OK,2017-12-22,2017-12-22_15
16,38.643,0.033,E,2017-12-22,2017-12-22_16
17,37.309,0.02,OK,2017-12-22,2017-12-22_17
18,37.611,0.014,OK,2017-12-22,2017-12-22_18
19,38.942,0.042,OK,2017-12-22,2017-12-22_19
20,38.873,0.042,E,2017-12-22,2017-12-22_20
1,37.411,0.014,OK,2017-12-23,2017-12-23_1
2,37.712,0.012,OK,2017-12-23,2017-12-23_2
3,38.98,0.036,OK,2017-12-23,2017-12-23_3
4,38.812,0.033,OK,2017-12-23,2017-12-23_4
5,37.406,0.016,OK,2017-12-23,2017-12-23_5
6,37.727,0.013,OK,2017-12-23,2017-12-23_6
7,38.997,0.038,OK,2017-12-23,2017-12-23_7
8,38.703,0.029,OK,2017-12-23,2017-12-23_8
9,37.481,0.017,OK,2017-12-23,2017-12-23_9
10,37.74,0.014,OK,2017-12-23,2017-12-23_10
11,38.974,0.039,OK,2017-12-23,2017-12-23_11
12,38.826,0.035,OK,2017-12-23,2017-12-23_12
13,37.257,0.011,OK,2017-12-23,2017-12-23_13
14,37.619,0.011,OK,2017-12-23,2017-12-23_14
15,38.943,0.038,OK,2017-12-23,2017-12-23_15
16,38.616,0.025,OK,2017-12-23,2017-12-23_16
17,37.269,0.013,OK,2017-12-23,2017-12-23_17
18,37.561,0.011,OK,2017-12-23,2017-12-23_18
19,38.881,0.036,OK,2017-12-23,2017-12-23_19
20,38.648,0.026,OK,2017-12-23,2017-12-23_20
21,37.27,0.014,OK,2017-12-23,2017-12-23_21
22,37.615,0.012,OK,2017-12-23,2017-12-23_22
23,38.881,0.038,OK,2017-12-23,2017-12-23_23
24,38.616,0.026,OK,2017-12-23,2017-12-23_24
1,37.245,0.012,OK,2017-12-25,2017-12-25_1
2,37.605,0.011,OK,2017-12-25,2017-12-25_2
3,38.841,0.031,OK,2017-12-25,2017-12-25_3
4,38.768,0.03,OK,2017-12-25,2017-12-25_4
5,37.507,0.021,OK,2017-12-25,2017-12-25_5
6,37.735,0.012,OK,2017-12-25,2017-12-25_6
7,39.05,0.04,OK,2017-12-25,2017-12-25_7
8,38.804,0.033,OK,2017-12-25,2017-12-25_8
9,37.311,0.013,OK,2017-12-25,2017-12-25_9
10,37.61,0.011,OK,2017-12-25,2017-12-25_10
11,38.957,0.035,OK,2017-12-25,2017-12-25_11
12,38.77,0.028,OK,2017-12-25,2017-12-25_12
13,37.521,0.021,OK,2017-12-25,2017-12-25_13
14,37.743,0.012,OK,2017-12-25,2017-12-25_14
15,39.132,0.042,OK,2017-12-25,2017-12-25_15
16,38.849,0.033,OK,2017-12-25,2017-12-25_16
17,37.344,0.016,OK,2017-12-25,2017-12-25_17
18,37.679,0.012,OK,2017-12-25,2017-12-25_18
19,38.959,0.038,OK,2017-12-25,2017-12-25_19
20,38.664,0.03,OK,2017-12-25,2017-12-25_20
21,37.418,0.019,OK,2017-12-25,2017-12-25_21
22,37.655,0.013,OK,2017-12-25,2017-12-25_22
23,38.942,0.038,OK,2017-12-25,2017-12-25_23
24,38.761,0.031,OK,2017-12-25,2017-12-25_24
1,37.277,0.011,OK,2017-12-27,2017-12-27_1
2,37.568,0.011,OK,2017-12-27,2017-12-27_2
3,38.901,0.034,OK,2017-12-27,2017-12-27_3
4,38.615,0.026,OK,2017-12-27,2017-12-27_4
5,37.306,0.016,OK,2017-12-27,2017-12-27_5
6,37.585,0.012,OK,2017-12-27,2017-12-27_6
7,38.818,0.033,OK,2017-12-27,2017-12-27_7
8,38.648,0.027,OK,2017-12-27,2017-12-27_8
9,37.335,0.016,OK,2017-12-27,2017-12-27_9
10,37.609,0.011,OK,2017-12-27,2017-12-27_10
