num,V_RBT,V_RBT_err,flag,data,id
1,38.098,0.047,OK,2017-12-08,2017-12-08_1
2,37.903,0.027,OK,2017-12-08,2017-12-08_2
3,39.695,0.13,OK,2017-12-08,2017-12-08_3
4,39.148,0.082,OK,2017-12-08,2017-12-08_4
5,37.398,0.043,OK,2017-12-08,2017-12-08_5
6,37.153,0.018,OK,2017-12-08,2017-12-08_6
7,38.448,0.059,OK,2017-12-08,2017-12-08_7
8,38.13,0.043,OK,2017-12-08,2017-12-08_8
9,37.897,0.039,OK,2017-12-08,2017-12-08_9
10,37.845,0.029,OK,2017-12-08,2017-12-08_10
11,39.343,0.098,OK,2017-12-08,2017-12-08_11
12,38.951,0.067,OK,2017-12-08,2017-12-08_12
13,37.606,0.028,OK,2017-12-08,2017-12-08_13
14,37.917,0.028,OK,2017-12-08,2017-12-08_14
15,39.314,0.101,OK,2017-12-08,2017-12-08_15
16,38.973,0.066,OK,2017-12-08,2017-12-08_16
1,37.729,0.022,OK,2017-12-11,2017-12-11_1
2,37.825,0.015,OK,2017-12-11,2017-12-11_2
3,39.131,0.044,OK,2017-12-11,2017-12-11_3
4,38.889,0.037,OK,2017-12-11,2017-12-11_4
5,37.818,0.03,OK,2017-12-11,2017-12-11_5
6,37.874,0.014,OK,2017-12-11,2017-12-11_6
7,39.292,0.054,OK,2017-12-11,2017-12-11_7
8,38.915,0.039,OK,2017-12-11,2017-12-11_8
9,37.744,0.025,OK,2017-12-11,2017-12-11_9
10,37.85,0.015,OK,2017-12-11,2017-12-11_10
11,39.289,0.051,OK,2017-12-11,2017-12-11_11
12,38.824,0.038,OK,2017-12-11,2017-12-11_12
13,37.797,0.03,OK,2017-12-11,2017-12-11_13
14,37.841,0.016,OK,2017-12-11,2017-12-11_14
15,39.145,0.048,OK,2017-12-11,2017-12-11_15
16,39.053,0.046,OK,2017-12-11,2017-12-11_16
17,38.06,0.054,OK,2017-12-11,2017-12-11_17
18,37.89,0.026,OK,2017-12-11,2017-12-11_18
