date & v & r & v_err & r_err & ABS_V & ABS_R \\
2017-12-08 & 13.892 & 14.163 & 0.268 & 0.563 & -22.232 & -21.804 \\
2017-12-11 & 13.948 & 13.5 & 0.149 & 0.043 & -22.176 & -22.467 \\
2017-12-12 & 13.823 & 13.447 & 0.045 & 0.06 & -22.301 & -22.52 \\
2017-12-14 & 13.76 & 13.481 & 0.029 & 0.059 & -22.364 & -22.486 \\
2017-12-15 & 13.672 & 13.343 & 0.417 & 0.018 & -22.452 & -22.624 \\
2017-12-19 & 13.753 & 13.32 & 0.154 & 0.042 & -22.371 & -22.647 \\
2017-12-20 & 13.794 & 13.292 & 0.026 & 0.009 & -22.33 & -22.675 \\
2017-12-21 & 13.783 & 13.353 & 0.175 & 0.038 & -22.341 & -22.614 \\
2017-12-22 & 13.827 & 13.32 & 0.029 & 0.022 & -22.297 & -22.647 \\
2017-12-23 & 13.933 & 13.417 & 0.175 & 0.087 & -22.191 & -22.55 \\
2017-12-25 & 13.999 & 13.46 & 0.237 & 0.101 & -22.125 & -22.507 \\
2017-12-27 & 13.908 & 13.385 & 0.1 & 0.021 & -22.216 & -22.582 \\
2017-12-29 & 13.981 & 13.419 & 0.036 & 0.083 & -22.143 & -22.548 \\
