wave_peak	wave_base	wave_top	note
540.01126	539.99110	540.01680	Fe 1
540.04430	540.01680	540.09050	Fe 1
540.12460	540.09050	540.15130	Fe 1
540.40408	540.38450	540.42910	Fe 1
540.45016	540.42910	540.47060	Fe 1
540.56954	540.54060	540.61370	Fe 1
540.73304	540.69310	540.78510	Fe 1
540.88543	540.85480	540.89590	Fe 2
542.14633	542.13640	542.16100	Fe 1
542.17511	542.16100	542.18900	Fe 1
542.87316	542.86680	542.88830	Fe 1
543.50648	543.47960	543.53110	Fe 1
543.57608	543.54630	543.59770	Fe 2
543.65338	543.63400	543.67930	Fe 1
543.70233	543.67930	543.73680	Fe 1
544.44868	544.42400	544.46270	Fe 1
544.61117	544.59380	544.62050	Fe 1
544.65127	544.62050	544.66210	Fe 1
544.68259	544.66210	544.73650	Fe 1
544.82748	544.80460	544.86080	Fe 1
545.55014	545.48210	545.57860	Fe 1
546.38514	546.35570	546.39890	Fe 1
546.68884	546.66160	546.71190	Fe 1
546.92091	546.88760	546.95210	Fe 1
547.30629	547.28420	547.31990	Fe 1
547.41308	547.39830	547.42680	Fe 1
547.76060	547.73910	547.79220	Fe 2
548.12671	548.09610	548.15600	Fe 1
548.21916	548.20530	548.24400	Fe 1
548.45241	548.43400	548.46910	Fe 1
548.74191	548.72490	548.74930	Fe 1
548.76505	548.74930	548.79130	Fe 1
548.80890	548.79130	548.82970	Fe 1
548.97763	548.96580	548.99010	Fe 1
549.33980	549.32420	549.35880	Fe 1
549.37539	549.35880	549.41420	Fe 1
549.64528	549.62180	549.65990	Fe 1
550.57741	550.55240	550.61040	Fe 1
551.24247	551.22490	551.26870	Fe 1
551.69904	551.68630	551.72660	Fe 1
552.11811	552.11470	552.12810	Fe 1
552.54485	552.52080	552.56710	Fe 1
552.98966	552.97680	553.01310	Fe 2
553.19067	553.17100	553.21360	Fe 1
553.21890	553.21360	553.23350	Fe 1
553.26762	553.23990	553.28270	Fe 1
553.29231	553.28270	553.31870	Fe 1
553.45826	553.43660	553.46270	Fe 1
553.47385	553.46270	553.49540	Fe 1
553.53491	553.49540	553.57060	Fe 1
554.30881	554.27550	554.33690	Fe 1
554.69377	554.67160	554.73900	Fe 1
554.95372	554.92790	554.96970	Fe 1
555.35549	555.32640	555.38360	Fe 1
555.47894	555.45030	555.52330	Fe 1
555.78492	555.75710	555.81710	Fe 1
555.95859	555.93680	555.99040	Fe 1
556.35472	556.32570	556.39440	Fe 1
556.66862	556.64080	556.69670	Fe 1
556.72899	556.69670	556.75890	Fe 1
556.87635	556.85820	556.90160	Fe 1
556.99369	556.97880	557.01280	Fe 1
558.18673	558.16080	558.21220	Fe 1
558.97629	558.94640	558.98240	Fe 1
559.83631	559.79750	559.86410	Fe 1
560.01139	560.00480	560.03800	Fe 1
560.98545	560.94920	561.00020	Fe 1
561.52066	561.48790	561.53520	Fe 1
561.55522	561.53520	561.58940	Fe 1
561.70580	561.68730	561.73070	Fe 1
561.99748	561.97270	562.01590	Fe 1
562.03790	562.01590	562.07000	Fe 1
562.20985	562.20310	562.23900	Fe 1
562.44676	562.41850	562.46510	Fe 1
562.75355	562.72270	562.78340	Fe 2
563.16625	563.14290	563.18550	Fe 1
564.08828	564.06090	564.11350	Fe 1
564.40208	564.35140	564.45620	Fe 1
564.77058	564.74870	564.79730	Fe 1
564.95596	564.93610	564.97430	Fe 1
565.84823	565.83180	565.85930	Fe 1
565.87079	565.85930	565.89020	Fe 1
566.09099	566.08490	566.10530	Fe 1
566.12488	566.10530	566.16310	Fe 1
566.74225	566.72330	566.77730	Fe 1
566.96256	566.93250	566.97300	Fe 1
567.33149	567.31560	567.35240	Fe 1
568.25358	568.22760	568.28050	Fe 1
568.60683	568.58700	568.61990	Fe 1
569.03264	569.00980	569.06200	Fe 1*
569.35451	569.33240	569.39410	Fe 1
569.84116	569.80510	569.87280	Fe 1*
570.03896	570.03380	570.05940	Fe 1
570.14513	570.12050	570.16870	Fe 1
570.18734	570.16870	570.20070	Fe 1
570.59253	570.55870	570.63200	Fe 1
570.80772	570.77830	570.81950	Fe 1
570.93051	570.90520	570.93380	Fe 1
570.94076	570.93380	570.96860	Fe 1
571.89662	571.87370	571.91420	Fe 1
572.35975	572.33960	572.37980	Fe 1
573.27495	573.26660	573.28790	Fe 2
574.78357	574.76960	574.80360	Fe 1
575.50554	575.48310	575.51300	Fe 1
575.94306	575.92690	575.97150	Fe 1
576.02447	575.99750	576.04950	Fe 1
576.07293	576.04950	576.09410	Fe 1
576.11559	576.09410	576.12000	Fe 1
576.13308	576.12000	576.18680	Fe 1
576.28839	576.25720	576.32010	Fe 1
576.62280	576.58980	576.65980	Fe 1
577.39310	577.36780	577.42610	Fe 1
577.49789	577.47370	577.53200	Fe 1
578.20188	578.17800	578.23220	Fe 1
578.69148	578.66080	578.71100	Fe 1
580.66236	580.63460	580.68700	Fe 1
580.91130	580.87880	580.94170	Fe 1
583.38598	583.36400	583.41780	Fe 1
583.54542	583.51850	583.57220	Fe 1
584.61403	584.59300	584.63580	Fe 1
584.79969	584.77400	584.83000	Fe 1
585.21497	585.17750	585.23960	Fe 1
585.86741	585.84730	585.89580	Fe 1
587.61655	587.60380	587.62910	Fe 1*
587.99270	587.98270	588.00150	Fe 1*
588.11604	588.10430	588.13230	Fe 1*
588.88251	588.86450	588.89590	Fe 1*
589.10731	589.08750	589.12650	Fe 1*
589.13368	589.12650	589.15000	Fe 2*
589.27554	589.24360	589.30600	Fe 1
