wave_peak	wave_base	wave_top	note
447.60510	447.57949	447.63249	Fe 1
447.96196	447.94749	447.97749	Fe 1
447.99649	447.98449	448.00449	Fe 1
448.01308	448.00449	448.02349	Fe 1
448.02545	448.02349	448.03949	Fe 1
448.16124	448.14849	448.17349	Fe 1
448.22180	448.20249	448.24849	Fe 1
448.27338	448.26149	448.29849	Fe 1
448.42207	448.40349	448.44049	Fe 1
448.56820	448.55349	448.58449	Fe 1
448.81298	448.79249	448.82149	Fe 1
448.89102	448.86949	448.90149	Fe 1
448.91713	448.90149	448.93349	Fe 2
448.97450	448.95849	448.99249	Fe 1
449.00836	448.99249	449.03049	Fe 1
449.07805	449.06349	449.09849	Fe 1
449.14105	449.12549	449.15649	Fe 2
449.26742	449.25249	449.28349	Fe 1
449.40410	449.37449	449.41949	Fe 1
449.45685	449.42949	449.48349	Fe 1
449.59599	449.58149	449.60549	Fe 1
449.91441	449.90050	449.92950	Fe 1
450.48255	450.45450	450.49750	Fe 1
450.82850	450.81150	450.84550	Fe 2
450.97421	450.95550	450.99150	Fe 1
451.41892	451.40250	451.43050	Fe 1
451.44440	451.43050	451.46050	Fe 1
451.53413	451.51950	451.55450	Fe 2
451.75353	451.73950	451.77150	Fe 1
452.02261	452.00850	452.03950	Fe 2
452.26314	452.23950	452.27250	Fe 2
452.33958	452.32050	452.35650	Fe 1
452.51433	452.50050	452.54350	Fe 1
452.86261	452.82850	452.89950	Fe 1
452.96695	452.96350	452.97950	Fe 1
453.11500	453.10450	453.13450	Fe 1
453.16244	453.14850	453.17750	Fe 1
453.41586	453.40850	453.43950	Fe 2
453.88090	453.86550	453.90150	Fe 1
454.15206	454.13950	454.17650	Fe 2
454.24254	454.23250	454.25450	Fe 1
454.70020	454.69750	454.71250	Fe 1
454.78506	454.76750	454.80550	Fe 1
454.94956	454.93250	454.95450	Fe 2
455.44548	455.43550	455.46850	Fe 1
455.58970	455.57050	455.60050	Fe 2
455.61285	455.60050	455.63150	Fe 1
456.00902	455.99850	456.02350	Fe 1
456.14133	456.13050	456.16050	Fe 1
456.47023	456.46250	456.47650	Fe 1
456.48203	456.47650	456.49250	Fe 1
456.56737	456.56050	456.59250	Fe 1
456.65221	456.63650	456.66250	Fe 1
456.68801	456.66950	456.69750	Fe 1
456.87832	456.86550	456.88850	Fe 1
457.42286	457.40850	457.43450	Fe 1
457.47213	457.45850	457.48450	Fe 1
457.63361	457.61650	457.65250	Fe 2
458.05797	458.04950	458.07550	Fe 1
458.14734	458.14650	458.17750	Fe 1
458.28382	458.26650	458.30350	Fe 2
458.38359	458.35550	458.41550	Fe 2
458.47950	458.45750	458.49950	Fe 1
458.62362	458.61350	458.63250	Fe 1
458.71282	458.69950	458.73150	Fe 1
459.26435	459.25751	459.28751	Fe 1
459.53609	459.51251	459.54951	Fe 1
459.60417	459.57751	459.62551	Fe 1
459.77723	459.76051	459.78051	Fe 1
459.78621	459.78051	459.79851	Fe 1
459.81206	459.79851	459.82751	Fe 1
459.98410	459.96351	459.99851	Fe 1
460.09816	460.08751	460.11751	Fe 1
460.20063	460.18451	460.21851	Fe 1
460.29459	460.27451	460.31951	Fe 1
460.45562	460.43851	460.47251	Fe 1
460.55870	460.54951	460.57251	Fe 1
460.76495	460.74751	460.78051	Fe 1
461.12716	461.09751	461.14851	Fe 1
461.32112	461.30451	461.32851	Fe 1
461.55688	461.54351	461.56851	Fe 1
461.92886	461.90951	461.94251	Fe 1
462.05124	462.03551	462.06851	Fe 2
462.50487	462.47651	462.52351	Fe 1
462.93382	462.91751	462.95351	Fe 2
463.01224	462.99351	463.03251	Fe 1
463.28981	463.26751	463.31351	Fe 1
463.58472	463.57051	463.59851	Fe 1
463.75091	463.73251	463.76451	Fe 1
463.80115	463.78451	463.82351	Fe 1
464.34672	464.33151	464.36151	Fe 1
464.74363	464.70751	464.76551	Fe 1
465.45746	465.43651	465.48751	Fe 1
