ind_header,ind,JD,mag,flags
0,0,57387.44369,0.339,True
0,1,57387.44653,0.348,True
0,2,57387.45068,0.331,True
0,3,57387.45352,0.336,True
0,4,57387.45635,0.331,True
0,5,57387.45919,0.332,True
0,6,57387.46202,0.337,True
0,7,57387.46486,0.334,True
0,8,57387.46769,0.335,True
0,9,57387.47053,0.327,True
0,10,57387.47337,0.333,True
0,11,57387.4762,0.317,True
0,12,57387.48252,0.326,True
0,13,57387.48536,0.331,True
0,14,57387.48819,0.322,True
0,15,57387.49103,0.344,True
0,16,57387.49386,0.322,True
0,17,57387.4967,0.311,True
0,18,57387.49954,0.317,True
0,19,57387.50237,0.31,True
0,20,57387.50521,0.307,True
0,21,57387.50804,0.31,True
0,22,57387.51865,0.305,True
0,23,57387.52148,0.305,True
0,24,57387.52432,0.306,True
0,25,57387.52715,0.302,True
0,26,57387.52999,0.309,True
0,27,57387.53282,0.314,True
0,28,57387.53566,0.315,True
0,29,57387.5385,0.303,True
0,30,57387.54133,0.319,True
0,31,57387.54417,0.327,True
0,32,57387.547,0.326,True
0,33,57387.54984,0.329,True
0,34,57387.55267,0.324,True
0,35,57387.55551,0.337,True
0,36,57387.55835,0.337,True
0,37,57387.56118,0.333,True
0,38,57387.56402,0.331,True
0,39,57387.56685,0.35,True
0,40,57387.56969,0.335,True
0,41,57387.57252,0.347,True
0,42,57387.5973,0.377,True
0,43,57387.60014,0.371,True
0,44,57387.60298,0.377,True
0,45,57387.60581,0.385,True
0,46,57387.60865,0.382,True
0,47,57387.61148,0.386,True
0,48,57387.61432,0.391,True
0,49,57387.61715,0.391,True
0,50,57387.61999,0.383,True
0,51,57387.62283,0.391,True
0,52,57387.62597,0.39,True
0,53,57387.62881,0.398,True
0,54,57387.63165,0.405,True
0,55,57387.63448,0.393,True
0,56,57387.63732,0.403,True
0,57,57387.64015,0.416,True
0,58,57387.64299,0.407,True
0,59,57387.64582,0.406,True
0,60,57387.64866,0.388,True
0,61,57387.6515,0.413,True
0,62,57387.65433,0.409,True
0,63,57387.65717,0.407,True
0,64,57387.66,0.429,True
0,65,57387.66284,0.415,True
0,66,57387.66567,0.411,True
0,67,57387.67393,0.428,True
0,68,57387.67676,0.435,True
0,69,57387.6796,0.41,True
0,70,57387.68243,0.41,True
0,71,57387.68527,0.418,True
0,72,57387.68851,0.413,True
0,73,57387.69135,0.426,True
0,74,57387.69418,0.419,True
0,75,57387.69702,0.396,True
0,76,57387.69985,0.401,True
1,0,57424.25475,14.145,True
1,1,57424.25758,14.132,True
1,2,57424.26042,14.135,True
1,3,57424.26325,14.145,True
1,4,57424.26609,14.143,True
1,5,57424.26892,14.153,True
1,6,57424.27176,14.135,True
1,7,57424.27459,14.137,True
1,8,57424.27743,14.156,True
1,9,57424.28027,14.204,False
1,10,57424.2831,14.159,True
1,11,57424.28594,14.231,False
1,12,57424.28877,14.173,True
1,13,57424.29161,14.193,True
1,14,57424.29444,14.169,True
1,15,57424.29728,14.179,True
1,16,57424.30012,14.185,True
1,17,57424.30295,14.193,True
1,18,57424.30579,14.192,True
1,19,57424.30862,14.184,True
1,20,57424.3114,14.164,True
1,21,57424.31373,14.169,False
1,22,57424.31587,14.1,False
1,23,57424.31801,14.091,False
1,24,57424.32015,14.104,False
1,25,57424.32229,14.113,False
1,26,57424.32443,14.165,False
1,27,57424.32657,14.174,True
1,28,57424.32872,14.198,True
1,29,57424.33086,14.196,True
1,30,57424.333,14.225,True
1,31,57424.33514,14.207,True
1,32,57424.33728,14.192,True
1,33,57424.33942,14.219,True
1,34,57424.34156,14.202,True
1,35,57424.3437,14.2,True
1,36,57424.34584,14.218,True
1,37,57424.34799,14.222,True
1,38,57424.35013,14.218,True
1,39,57424.35227,14.219,True
1,40,57424.35441,14.215,True
1,41,57424.35655,14.21,True
1,42,57424.35869,14.207,True
1,43,57424.36083,14.214,True
1,44,57424.36297,14.22,True
1,45,57424.36512,14.227,True
1,46,57424.36726,14.212,True
1,47,57424.3694,14.205,True
1,48,57424.37154,14.225,True
1,49,57424.37368,14.221,True
1,50,57424.37582,14.243,True
1,51,57424.37796,14.242,True
1,52,57424.3801,14.239,True
1,53,57424.38225,14.24,True
1,54,57424.38439,14.246,True
1,55,57424.38653,14.25,True
1,56,57424.38867,14.272,True
1,57,57424.39509,14.373,False
1,58,57424.39723,14.296,True
1,59,57424.40023,14.264,True
1,60,57424.40307,14.273,True
1,61,57424.4059,14.282,True
1,62,57424.43426,14.321,False
2,0,57433.860579,0.894,True
2,1,57433.864792,0.895,True
2,2,57433.869005,0.902,True
2,3,57433.873218,0.902,True
2,4,57433.877431,0.911,True
2,5,57433.881655,0.909,True
2,6,57433.885868,0.908,True
2,7,57433.890081,0.903,True
2,8,57433.894294,0.904,True
3,0,57443.300405,1.3,True
3,1,57443.308148,1.276,True
3,2,57443.31515,1.264,True
3,3,57443.322153,1.257,True
3,4,57443.329149,1.246,True
3,5,57443.336146,1.242,True
3,6,57443.35015,1.217,True
3,7,57443.357147,1.212,True
3,8,57443.365422,1.223,True
