lambda,beta,lambda_def,beta_def,period_def,dev
0,-60,-0.528968,-56.864131,24.928607,0.013075
0,-30,13.960734,-39.873238,24.928521,0.011872
0,0,5.486659,-27.702565,24.928388,0.012635
0,30,12.669311,36.782545,24.928126,0.013225
0,60,-4.755299,59.678451,24.927798,0.013759
45,-60,36.199822,-45.167836,24.928767,0.011287
45,-30,46.599654,-33.565542,24.928382,0.011699
45,0,29.178044,18.062427,24.927999,0.012733
45,30,28.363788,27.858757,24.927851,0.012832
45,60,35.121603,53.802037,24.927581,0.014145
90,-60,75.960049,-57.831733,24.92877,0.013709
90,-30,96.438059,-38.059606,24.928681,0.015163
90,0,87.478403,18.530836,24.927868,0.01381
90,30,83.557794,44.266428,24.927539,0.014047
90,60,78.513229,64.775552,24.927572,0.013427
135,-60,142.553061,-52.62067,24.928593,0.014247
135,-30,138.957031,-43.468731,24.928676,0.014423
135,0,146.753065,-19.060805,24.928714,0.014053
135,30,142.631728,39.973181,24.927532,0.014892
135,60,119.636369,60.904381,24.927267,0.014192
180,-60,189.984786,-46.765101,24.928672,0.011927
180,-30,180.553893,-34.747492,24.928685,0.011723
180,0,178.616185,-21.882972,24.928496,0.011934
180,30,178.76698,4.23861,24.92824,0.012809
180,60,179.990225,55.76231,24.92757,0.014071
225,-60,215.331778,-40.072828,24.928454,0.012934
225,-30,201.928733,-36.043988,24.928572,0.011939
225,0,218.197537,17.352204,24.928141,0.012813
225,30,219.829088,30.864986,24.92797,0.012389
225,60,220.890468,33.826007,24.927953,0.01234
270,-60,266.025886,-71.16925,24.928742,0.014721
270,-30,274.758537,-30.26435,24.928584,0.015588
270,0,272.662182,-2.035214,24.927604,0.014159
270,30,270.67391,35.005456,24.92754,0.01414
270,60,251.775441,58.573445,24.927469,0.01443
315,-60,324.933878,-71.246976,24.928703,0.014197
315,-30,329.045193,-47.121033,24.928869,0.014116
315,0,326.729235,4.660858,24.927558,0.015213
315,30,301.67736,37.887651,24.927361,0.014149
315,60,301.167675,54.625041,24.927503,0.015312
