wave_peak	wave_base	wave_top	note
443.32232	443.30082	443.34982	Fe 1
443.37894	443.34982	443.39182	Fe 1
443.69494	443.67582	443.73582	Fe 1
444.04618	444.01982	444.06482	Fe 1
444.08343	444.06482	444.09082	Fe 1
444.09875	444.09082	444.11682	Fe 1
444.23412	444.20882	444.26482	Fe 1
444.68420	444.65882	444.69982	Fe 1
444.71490	444.69982	444.74182	Fe 1
444.77352	444.74182	444.80482	Fe 1
445.90870	445.87582	445.92482	Fe 1
445.93488	445.92482	445.95682	Fe 1
446.65494	446.62382	446.67482	Fe 1
446.69268	446.67482	446.71582	Fe 1
447.60490	447.57682	447.64182	Fe 1
448.22128	448.18582	448.25182	Fe 1
448.42189	448.40282	448.44182	Fe 1
448.89052	448.85582	448.89982	Fe 1
448.91670	448.89982	448.93482	Fe 2
448.97398	448.95782	448.99082	Fe 1
449.00824	448.99082	449.03582	Fe 1
449.07697	449.06282	449.10382	Fe 1
449.13937	449.10382	449.15682	Fe 2
449.40888	449.37482	449.43082	Fe 1
449.45562	449.43082	449.48882	Fe 1
450.82831	450.79982	450.85382	Fe 2
451.41855	451.39682	451.43082	Fe 1
451.44323	451.43082	451.47382	Fe 1
451.53382	451.47382	451.57282	Fe 2
452.02157	452.00482	452.06082	Fe 2
452.26357	452.24682	452.29582	Fe 2
452.33960	452.32282	452.37182	Fe 1
452.86162	452.80682	452.89982	Fe 1
454.15197	454.13482	454.18182	Fe 2
454.78497	454.76082	454.80582	Fe 1
455.58865	455.56482	455.60182	Fe 2
455.61219	455.60182	455.65882	Fe 1
456.00780	455.96882	456.01982	Fe 1
456.02652	456.01982	456.05582	Fe 1
457.63335	457.59882	457.66782	Fe 2
458.28365	458.26282	458.30482	Fe 2
458.38212	458.35582	458.42982	Fe 2
458.46361	458.42982	458.50082	Fe 1
458.71289	458.66782	458.75082	Fe 1
459.26078	459.22582	459.31282	Fe 1
459.78540	459.75482	459.79882	Fe 1
459.81147	459.79882	459.82682	Fe 1
459.83257	459.82682	459.85982	Fe 1
460.19997	460.16982	460.23482	Fe 1
460.29376	460.26182	460.31782	Fe 1
461.12745	461.07382	461.16582	Fe 1
462.05126	462.02082	462.08482	Fe 2
462.50463	462.46782	462.55282	Fe 1
462.93263	462.88582	462.97182	Fe 2
463.01215	462.97182	463.03682	Fe 1
463.28848	463.24982	463.31482	Fe 1
464.34599	464.32582	464.36782	Fe 1
465.45724	465.40982	465.49682	Fe 1
466.91801	466.89582	466.95182	Fe 1
467.88453	467.85382	467.90382	Fe 1
467.92202	467.90382	467.94282	Fe 1
469.13992	469.09682	469.16982	Fe 1
471.02683	470.99182	471.04982	Fe 1
472.85458	472.82682	472.88382	Fe 1
473.14649	473.12482	473.17082	Fe 2
473.67742	473.65482	473.71382	Fe 1
474.49274	474.47182	474.50682	Fe 1
474.57972	474.54982	474.60082	Fe 1
474.63043	474.60082	474.67682	Fe 1
474.99452	474.98082	475.05782	Fe 1
492.05069	492.00182	492.08282	Fe 1
492.39184	492.33182	492.42182	Fe 2
492.42778	492.42182	492.44782	Fe 1
492.47690	492.44782	492.51182	Fe 1
492.52936	492.51182	492.53882	Fe 1
492.68165	492.65982	492.71082	Fe 1
492.74249	492.71082	492.75982	Fe 1
493.03086	492.96182	493.05982	Fe 1
493.20544	493.17482	493.24082	Fe 1
493.33180	493.30282	493.36982	Fe 1
493.53969	493.49782	493.56482	Fe 1
493.81824	493.78182	493.85482	Fe 1
493.88113	493.85482	493.90382	Fe 1
493.92399	493.90382	493.94682	Fe 1
493.96833	493.94682	493.99282	Fe 1
494.56303	494.55482	494.58482	Fe 1
494.63905	494.61782	494.68282	Fe 1
495.01247	494.91282	495.03282	Fe 1
495.73106	495.63182	495.74382	Fe 1
495.76103	495.74382	495.87082	Fe 1
496.19317	496.16582	496.21382	Fe 1
496.25747	496.23882	496.29582	Fe 1
496.60901	496.58982	496.64682	Fe 1
496.78956	496.76582	496.81382	Fe 1
496.83928	496.81382	496.85382	Fe 1
496.86927	496.85382	496.92982	Fe 1
496.99163	496.92982	497.02182	Fe 1
497.05133	497.02182	497.08282	Fe 1
497.30946	497.27182	497.33582	Fe 1
497.76620	497.73982	497.79482	Fe 1
497.86256	497.83282	497.90382	Fe 1
498.05350	498.04282	498.09682	Fe 1
498.24979	498.22682	498.26682	Fe 1
498.32673	498.30182	498.35582	Fe 1
498.38523	498.35582	498.39882	Fe 1
498.46189	498.43782	498.48282	Fe 1
498.52562	498.49782	498.53982	Fe 1
498.55463	498.53982	498.58482	Fe 1
498.59853	498.58482	498.60782	Fe 1
498.62189	498.60782	498.66082	Fe 1
498.68749	498.66082	498.70582	Fe 1
498.83546	498.81682	498.85582	Fe 1
498.89490	498.87082	498.93482	Fe 1
499.12515	499.11882	499.15382	Fe 1
499.18599	499.15382	499.21482	Fe 1
499.33463	499.31082	499.35282	Fe 2
499.36836	499.35282	499.38982	Fe 1
499.41292	499.38982	499.43882	Fe 1
499.54131	499.52082	499.55382	Fe 1
499.79805	499.77282	499.80582	Fe 1
