wave_peak	wave_base	wave_top	note
445.90870	445.87582	445.92482	Fe 1
445.93488	445.92482	445.95682	Fe 1
446.65494	446.62382	446.67482	Fe 1
446.69268	446.67482	446.71582	Fe 1
447.60490	447.57682	447.64182	Fe 1
449.13937	449.10382	449.15682	Fe 2
449.40888	449.37482	449.43082	Fe 1
449.45562	449.43082	449.48882	Fe 1
450.82831	450.79982	450.85382	Fe 2
451.41855	451.39682	451.43082	Fe 1
451.44323	451.43082	451.47382	Fe 1
451.53382	451.47382	451.57282	Fe 2
452.02157	452.00482	452.06082	Fe 2
452.26357	452.24682	452.29582	Fe 2
452.86162	452.80682	452.89982	Fe 1
454.15197	454.13482	454.18182	Fe 2
454.78497	454.76082	454.80582	Fe 1
455.58865	455.56482	455.60182	Fe 2
455.61219	455.60182	455.65882	Fe 1
457.63335	457.59882	457.66782	Fe 2
458.28365	458.26282	458.30482	Fe 2
458.38212	458.35582	458.42982	Fe 2
458.46361	458.42982	458.50082	Fe 1
459.26078	459.22582	459.31282	Fe 1
460.29376	460.26182	460.31782	Fe 1
461.12745	461.07382	461.16582	Fe 1
462.05126	462.02082	462.08482	Fe 2
462.50463	462.46782	462.55282	Fe 1
462.93263	462.88582	462.97182	Fe 2
463.28848	463.24982	463.31482	Fe 1
465.45724	465.40982	465.49682	Fe 1
466.91801	466.89582	466.95182	Fe 1
471.02683	470.99182	471.04982	Fe 1
472.85458	472.82682	472.88382	Fe 1
473.14649	473.12482	473.17082	Fe 2
473.67742	473.65482	473.71382	Fe 1
492.39184	492.33182	492.42182	Fe 2
492.42778	492.42182	492.44782	Fe 1
492.47690	492.44782	492.51182	Fe 1
494.63905	494.61782	494.68282	Fe 1
495.73106	495.63182	495.74382	Fe 1
495.76103	495.74382	495.87082	Fe 1
496.60901	496.58982	496.64682	Fe 1
497.30946	497.27182	497.33582	Fe 1
497.86256	497.83282	497.90382	Fe 1
498.89490	498.87082	498.93482	Fe 1
500.57121	500.53682	500.58982	Fe 1
500.61073	500.58982	500.67682	Fe 1
501.84182	501.78182	501.89582	Fe 2
502.71466	502.66682	502.74882	Fe 1
502.77594	502.74882	502.79382	Fe 1
502.81287	502.79382	502.87582	Fe 1
504.98217	504.94682	505.02682	Fe 1
506.87690	506.84782	506.89682	Fe 1
508.33371	508.28282	508.35782	Fe 1
509.07732	509.05282	509.11882	Fe 1
532.41743	532.36482	532.50482	Fe 1
533.99320	533.96782	534.02882	Fe 1
534.10283	534.07382	534.12582	Fe 1
535.33924	535.26482	535.37582	Fe 1
536.28582	536.24382	536.35882	Fe 2
536.48750	536.42782	536.51482	Fe 1
536.54009	536.51482	536.57182	Fe 1
536.74667	536.67982	536.82482	Fe 1
536.99643	536.96982	537.07982	Fe 1
537.14994	537.07982	537.18282	Fe 1
538.33701	538.27382	538.44482	Fe 1
539.31679	539.25682	539.35982	Fe 1
539.71311	539.67682	539.74382	Fe 1
539.82734	539.80082	539.86682	Fe 1
540.05099	540.01982	540.10182	Fe 1
541.40708	541.38482	541.43482	Fe 2
541.51989	541.43482	541.61782	Fe 1
541.70338	541.67382	541.74482	Fe 1
542.52531	542.49482	542.55182	Fe 2
542.96973	542.92482	543.01882	Fe 1
543.45204	543.39082	543.48282	Fe 1
544.50460	544.47382	544.53682	Fe 1
544.65820	544.62982	544.66982	Fe 1
544.69106	544.66982	544.73982	Fe 1
549.75024	549.68982	549.77782	Fe 1
550.14656	550.10982	550.18082	Fe 1
550.67774	550.63982	550.72782	Fe 1
553.48396	553.40682	553.51082	Fe 2
553.54232	553.51082	553.58282	Fe 1
556.57002	556.50882	556.63682	Fe 1
556.96165	556.90282	557.02882	Fe 1
557.28397	557.25582	557.30182	Fe 1
557.30799	557.30182	557.35582	Fe 1
557.60905	557.53882	557.66082	Fe 1
558.67603	558.64482	558.70382	Fe 1
562.40273	562.33782	562.42282	Fe 1
562.45419	562.42282	562.50582	Fe 1
566.25135	566.22882	566.27282	Fe 1
566.29287	566.27282	566.35382	Fe 1
570.94077	570.90782	570.97782	Fe 1
576.29861	576.26682	576.33182	Fe 1
597.67752	597.65582	597.75382	Fe 1
598.48192	598.44682	598.50782	Fe 1
599.13653	599.11082	599.16582	Fe 2
602.01739	601.96082	602.10982	Fe 1
602.40582	602.31582	602.49082	Fe 1
605.60090	605.56582	605.64482	Fe 1
606.54848	606.48782	606.66782	Fe 1
608.41040	608.38582	608.47782	Fe 2
613.66121	613.60282	613.68282	Fe 1
613.69898	613.68282	613.72082	Fe 1
613.76799	613.72082	613.81882	Fe 1
614.77534	614.73882	614.84282	Fe 2
614.92458	614.84282	614.95682	Fe 2
620.03112	619.98482	620.10982	Fe 1
