wave_peak	wave_base	wave_top	note
442.54470	442.51900	442.54500	Ca 1
442.54502	442.54500	442.56800	Ca 1
443.49741	443.47800	443.49800	Ca 1
443.49878	443.49800	443.52900	Ca 1
443.56672	443.54100	443.59600	Ca 1
445.47810	445.45500	445.48300	Ca 1
445.58802	445.58300	445.61000	Ca 1
445.65711	445.64700	445.66000	Ca 1
445.66288	445.66000	445.66700	Ca 1
447.94759	447.94100	447.95000	Ca 2
449.62117	449.61800	449.62600	Ca 1
450.98239	450.97900	450.98400	Ca 1
450.98548	450.98400	450.99000	Ca 1
452.53519	452.53400	452.54700	Ca 1
452.59919	452.59300	452.60400	Ca 1
452.69273	452.68000	452.69300	Ca 1
452.69368	452.69300	452.71000	Ca 1
457.85377	457.84800	457.85700	Ca 1
457.85904	457.85700	457.86300	Ca 1
458.14423	458.11600	458.17700	Ca 1
459.78112	459.76600	459.78500	Ca 1
468.52478	468.52000	468.53100	Ca 1
468.53262	468.53100	468.54700	Ca 1
500.14737	500.13800	500.15200	Ca 2
501.99742	501.97500	502.03300	Ca 2
533.92280	533.91300	533.93300	Ca 2
534.94723	534.91800	534.94900	Ca 1
551.29909	551.29400	551.33300	Ca 1
558.19786	558.19300	558.20300	Ca 1
558.87458	558.83900	558.87500	Ca 1
558.87667	558.87500	558.90900	Ca 1
559.01339	559.00700	559.03300	Ca 1
559.45073	559.44400	559.48000	Ca 1
560.13050	560.12500	560.16400	Ca 1
560.28746	560.24700	560.31900	Ca 1
610.27164	610.26700	610.27900	Ca 1
612.22191	612.18300	612.25800	Ca 1
616.12973	616.12200	616.14200	Ca 1
616.21583	616.17800	616.22200	Ca 1
616.64050	616.63300	616.64100	Ca 1
616.64702	616.64100	616.65600	Ca 1
616.90344	616.86500	616.91500	Ca 1
616.95544	616.92800	616.98400	Ca 1
