wave_peak	wave_base	wave_top	note
443.46491	443.45700	443.46700	Si 1
460.12146	460.11900	460.12600	Si 1
464.38291	464.38000	464.38800	Si 1
470.79497	470.78500	470.79700	Si 1
474.80021	474.79100	474.80200	Si 1
500.60353	500.59200	500.60400	Si 1
542.11334	542.10900	542.12500	Si 1
550.29421	550.28800	550.29700	Si 1
564.56184	564.55600	564.56300	Si 1
565.06476	565.05900	565.06800	Si 1
565.49559	565.48300	565.49800	Si 1
566.07191	566.06600	566.08100	Si 1
566.55188	566.54600	566.55500	Si 1
566.55773	566.55500	566.56100	Si 1
567.53869	567.52700	567.54200	Si 1
570.10615	570.10000	570.11000	Si 1
570.11307	570.11000	570.11800	Si 1
570.84060	570.83700	570.84200	Si 1
570.84324	570.84200	570.85500	Si 1
574.77117	574.76200	574.77300	Si 1
575.34442	575.34000	575.34900	Si 1
575.35991	575.35500	575.36400	Si 1
577.21802	577.21300	577.22100	Si 1
578.03400	578.02800	578.03800	Si 1
578.04317	578.03800	578.04500	Si 1
579.30331	579.27900	579.30900	Si 1
579.77127	579.75800	579.77300	Si 1
579.78253	579.77300	579.78500	Si 1
579.78701	579.78500	579.79100	Si 1
599.79823	599.79400	599.80600	Si 1
612.50300	612.49900	612.50800	Si 1
613.15628	613.14600	613.16000	Si 1
614.24880	614.24300	614.25200	Si 1
614.50248	614.49700	614.51200	Si 1
615.51566	615.51400	615.52000	Si 1
619.44636	619.43800	619.45200	Si 1
621.50358	621.49500	621.50900	Si 1
621.53227	621.52900	621.54900	Si 1
