# kolumna 2 - klasa jasnosci V
# kolumna 3 - klasa jasnosci Ia
# kolumna 4 - klasa jasnosci V
# kolumna 5 - klasa jasnosci Ia
#
#    (B-V)         (U-B)
#-------------------------- 
#    V      Ia    V     Ia
#---------------------------
Type B-V_V B-V_Ia U-B_V U-B_Ia
O5 -0.33 -0.31 -1.19 -1.17
 6 -0.33 -0.31 -1.17 -1.16
 7 -0.32 -0.31 -1.15 -1.14
 8 -0.32 -0.29 -1.14 -1.13
 9 -0.31 -0.27 -1.12 -1.13
B0 -0.30 -0.23 -1.08 -1.06
 1 -0.26 -0.19 -0.95 -1.00
 2 -0.24 -0.17 -0.84 -0.93 
 3 -0.20 -0.13 -0.71 -0.83
 5 -0.17 -0.10 -0.58 -0.72
 6 -0.15 -0.08 -0.50 -0.69
 7 -0.13 -0.05 -0.43 -0.63
 8 -0.11 -0.03 -0.34 -0.55
 9 -0.07 -0.02 -0.20 -0.49
A0 -0.02 -0.01 -0.02 -0.38
 1 -0.01  0.02 -0.02  0.29
 2  0.05  0.03  0.05 -0.25
 3  0.08  0.06  0.08 -0.14
 5  0.15  0.11  0.10 -0.08
 7  0.20  0.12  0.10  0.00
 8  0.25  0.14  0.09  0.11
F0  0.30  0.17  0.03  0.15
 2  0.35  0.23  0.00  0.18
 5  0.44  0.32  0.02  0.27
 8  0.52  0.56  0.02  0.41
G0  0.58  0.76  0.06  0.52
 2  0.63  0.87  0.12  0.63
 5  0.68  1.02  0.20  0.83
 8  0.74  1.14  0.30  1.05
K0  0.81  1.25  0.45  1.17
 1  0.86  1.32  0.54  1.28
 2  0.91  1.36  0.64  1.32
 3  0.96  1.46  0.80  1.60
 5  1.15  1.60  1.98  1.80
 7  1.33  1.63  1.21  1.84
M0  1.40  1.67  1.22  1.90
 1  1.46  1.69  1.21  1.90
 2  1.49  1.69  1.18  1.95
 3  1.51  1.69  1.16  1.95
 4  1.54  1.76  1.15  2.00
 5  1.64  1.80  1.24  1.60
