 age/yr       logL   logTef grav   logTc  logrho Xc,Yc Xc_C    Xc_O    Q_conv Q_disc  logL_H Q1_H  Q2_H    logL_He Q1_He Q2_He  logL_C logL_nu Q_Tmax
 0.00000E+00  3.283  4.321  4.230  7.464  1.143  0.707 4.89E-5 9.12E-3 0.2861 0.0000  3.131 0.0000 0.4410  0.000 0.0000 0.0000  0.000  0.000  0.0000
 9.07736E+05  3.231  4.316  4.256  7.467  1.132  0.696 5.95E-5 7.79E-3 0.3434 0.3554  3.234 0.0000 0.4410  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.32736E+07  3.294  4.302  4.141  7.466  1.094  0.596 9.89E-5 3.26E-3 0.3181 0.3554  3.298 0.0000 0.2803  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.30335E+07  3.358  4.292  4.040  7.473  1.088  0.499 1.15E-4 1.80E-3 0.2880 0.3787  3.360 0.0000 0.2605  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 3.06800E+07  3.418  4.280  3.928  7.484  1.092  0.397 1.26E-4 1.10E-3 0.2605 0.3900  3.420 0.0000 0.2410  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 3.66913E+07  3.473  4.263  3.804  7.496  1.109  0.297 1.35E-4 7.52E-4 0.2282 0.3900  3.476 0.0000 0.2179  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.13908E+07  3.522  4.241  3.671  7.512  1.139  0.200 1.44E-4 5.75E-4 0.2037 0.4011  3.524 0.0000 0.1952  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.50467E+07  3.568  4.214  3.515  7.534  1.198  0.099 1.56E-4 4.70E-4 0.1725 0.4011  3.569 0.0000 0.1690  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.65480E+07  3.590  4.201  3.443  7.554  1.256  0.050 1.67E-4 4.31E-4 0.1600 0.4011  3.591 0.0000 0.1576  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.70455E+07  3.600  4.199  3.424  7.567  1.293  0.032 1.73E-4 4.17E-4 0.1532 0.4011  3.600 0.0000 0.1532  0.000 0.0000 0.0000  0.000  0.000  0.0000    
 4.75946E+07  3.619  4.207  3.439  7.598  1.385  0.010 1.91E-4 3.97E-4 0.1485 0.4011  3.615 0.0000 0.2037  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.78109E+07  3.656  4.236  3.521  7.654  1.571  0.001 2.25E-4 3.87E-4 0.1307 0.4011  3.606 0.0000 0.2665  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.78312E+07  3.678  4.249  3.546  7.683  1.695  0.000 2.42E-4 3.85E-4 0.1049 0.4011  3.548 0.0000 0.3107  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.78389E+07  3.687  4.253  3.556  7.703  1.849  0.000 2.53E-4 3.85E-4 0.0301 0.4011  3.589 0.0000 0.3554  0.000 0.0000 0.0000  0.000  0.000  0.0000    
 4.78401E+07  3.684  4.253  3.557  7.703  1.890  0.000 2.55E-4 3.85E-4 0.0000 0.4011  3.640 0.0000 0.3434  0.000 0.0000 0.0000  0.000  0.000  0.0000    
 4.78473E+07  3.649  4.241  3.544  7.694  2.067  0.982 2.55E-4 3.85E-4 0.0000 0.4011  3.745 0.0396 0.3255  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.78548E+07  3.634  4.221  3.478  7.699  2.205  0.982 2.55E-4 3.85E-4 0.0000 0.4011  3.739 0.0514 0.3107  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.78608E+07  3.645  4.204  3.402  7.707  2.297  0.982 2.55E-4 3.85E-4 0.0000 0.4011  3.745 0.0573 0.2995  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.78679E+07  3.661  4.186  3.314  7.717  2.391  0.982 2.55E-4 3.85E-4 0.0000 0.4011  3.751 0.0677 0.2842  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.78758E+07  3.674  4.166  3.219  7.730  2.486  0.982 2.55E-4 3.85E-4 0.0000 0.4011  3.757 0.0758 0.2744  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.78847E+07  3.683  4.142  3.117  7.745  2.581  0.982 2.55E-4 3.85E-4 0.0000 0.4011  3.760 0.0848 0.2665  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.78944E+07  3.687  4.116  3.007  7.763  2.677  0.982 2.55E-4 3.85E-4 0.0000 0.4011  3.761 0.0936 0.2526  0.000 0.0000 0.0000  0.000  0.000  0.0000     
 4.79048E+07  3.685  4.085  2.884  7.783  2.775  0.982 2.55E-4 3.85E-4 0.0000 0.4011  3.761 0.1017 0.2444  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.79102E+07  3.682  4.067  2.816  7.794  2.823  0.982 2.55E-4 3.85E-4 0.0000 0.4011  3.760 0.1052 0.2383  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.79157E+07  3.678  4.047  2.741  7.806  2.873  0.982 2.55E-4 3.85E-4 0.0000 0.4011  3.757 0.1087 0.2342  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.79214E+07  3.671  4.025  2.660  7.818  2.922  0.982 2.55E-4 3.85E-4 0.0000 0.4011  3.755 0.1132 0.2300  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.79271E+07  3.662  4.000  2.569  7.831  2.971  0.982 2.55E-4 3.85E-4 0.0000 0.4011  3.751 0.1160 0.2239  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.79329E+07  3.650  3.972  2.466  7.845  3.021  0.982 2.55E-4 3.85E-4 0.0000 0.4011  3.746 0.1212 0.2197  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.79388E+07  3.635  3.939  2.350  7.859  3.070  0.982 2.55E-4 3.85E-4 0.0000 0.4011  3.739 0.1235 0.2176  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.79447E+07  3.614  3.900  2.216  7.874  3.120  0.982 2.55E-4 3.85E-4 0.0000 0.4011  3.729 0.1289 0.2125  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.79506E+07  3.586  3.852  2.054  7.889  3.170  0.982 2.55E-4 3.85E-4 0.0000 0.4011  3.718 0.1305 0.2081  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.79565E+07  3.547  3.790  1.844  7.905  3.220  0.982 2.55E-4 3.85E-4 0.0000 0.4011  3.702 0.1351 0.2052  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.79624E+07  3.486  3.706  1.568  7.921  3.270  0.982 2.55E-4 3.85E-4 0.0000 0.4011  3.680 0.1374 0.2016  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.79660E+07  3.426  3.678  1.514  7.931  3.301  0.982 2.55E-4 3.85E-4 0.0000 0.3984  3.665 0.1396 0.1995  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.79683E+07  3.384  3.666  1.511  7.937  3.320  0.982 2.55E-4 3.85E-4 0.0000 0.3984  3.657 0.1396 0.1984  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.79702E+07  3.368  3.658  1.493  7.943  3.336  0.982 2.55E-4 3.85E-4 0.0000 0.3956  3.648 0.1396 0.1973  0.000 0.0000 0.0000  0.000  0.000  0.0000     
 4.79737E+07  3.415  3.642  1.382  7.953  3.365  0.982 2.55E-4 3.85E-4 0.0000 0.3956  3.635 0.1413 0.1952  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.79757E+07  3.487  3.632  1.272  7.958  3.382  0.982 2.55E-4 3.85E-4 0.0000 0.3956  3.632 0.1427 0.1945  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.79781E+07  3.570  3.623  1.153  7.965  3.402  0.982 2.55E-4 3.85E-4 0.0000 0.3900  3.636 0.1441 0.1937  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.79805E+07  3.629  3.618  1.072  7.971  3.422  0.982 2.55E-4 3.85E-4 0.0000 0.3787  3.645 0.1441 0.1930  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.79867E+07  3.696  3.611  0.978  7.988  3.472  0.982 2.55E-4 3.85E-4 0.0000 0.3584  3.671 0.1468 0.1916  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 4.79998E+07  3.758  3.605  0.893  8.023  3.574  0.982 2.56E-4 3.85E-4 0.0000 0.3154  3.723 0.1518 0.1901  0.000 0.0000 0.0029  0.000  0.000  0.0000          
 4.80152E+07  3.823  3.600  0.808  8.064  3.691  0.982 3.13E-4 3.85E-4 0.0000 0.2792  3.784 0.1577 0.1884  0.300 0.0000 0.0195  0.000  0.000  0.0000          
